institution,credit_code,credit_name,category,category_code,pillar,status,score,max,institution_key,pct_of_max
Technological University Dublin,PA-6,Institutional Climate,Planning & Administration,PA,Social,Complete,3.0,3.0,tudublin,100.0
Technological University Dublin,PA-7,Racial and Ethnic Representation,Planning & Administration,PA,Social,Complete,0.86,3.0,tudublin,28.7
Technological University Dublin,PA-8,Gender Parity,Planning & Administration,PA,Social,Complete,0.33,2.0,tudublin,16.5
Technological University Dublin,PA-9,Affordability and Access,Planning & Administration,PA,Social,Complete,2.5,3.0,tudublin,83.3
Technological University Dublin,PRE-1,Executive Letter,Report Preface,PRE,Preface,Complete,,,tudublin,
Technological University Dublin,PRE-2,Points of Distinction,Report Preface,PRE,Preface,Complete,,,tudublin,
Technological University Dublin,PRE-3,Institutional Characteristics,Report Preface,PRE,Preface,Complete,,,tudublin,
Technological University Dublin,PRE-4,Reporting Methodologies,Report Preface,PRE,Preface,Complete,,,tudublin,
University College Cork,AC-1,Sustainability Course Offerings,Academics,AC,Context,Complete,14.0,14.0,cork,100.0
University College Cork,AC-2,Undergraduate Programs,Academics,AC,Context,Complete,14.69,15.0,cork,97.9
University College Cork,AC-3,Graduate Programs,Academics,AC,Context,Complete,7.09,8.0,cork,88.6
University College Cork,AC-4,Applied Learning,Academics,AC,Context,Complete,4.0,4.0,cork,100.0
University College Cork,AC-5,Sustainability Literacy Assessment,Academics,AC,Context,Complete,2.25,4.0,cork,56.2
University College Cork,AC-6,Sustainability Research,Academics,AC,Context,Complete,10.0,10.0,cork,100.0
University College Cork,AC-7,Center for Sustainability Research,Academics,AC,Context,Complete,6.0,6.0,cork,100.0
University College Cork,AC-8,Responsible Research and Innovation,Academics,AC,Context,Complete,7.0,7.0,cork,100.0
University College Cork,EN-1,Outreach and Communications,Engagement,EN,Context,Complete,5.0,5.0,cork,100.0
University College Cork,EN-2,Co-Curricular Activities,Engagement,EN,Context,Complete,9.0,9.0,cork,100.0
University College Cork,EN-3,Staff Engagement and Training,Engagement,EN,Context,Complete,8.0,8.0,cork,100.0
University College Cork,EN-4,Sustainability Culture Assessment,Engagement,EN,Context,Complete,1.5,3.0,cork,50.0
University College Cork,EN-5,Civic Engagement,Engagement,EN,Context,Complete,7.0,8.0,cork,87.5
University College Cork,EN-6,Community Partnerships,Engagement,EN,Context,Complete,8.0,9.0,cork,88.9
University College Cork,EN-7,Continuing Education,Engagement,EN,Context,Complete,3.0,3.0,cork,100.0
University College Cork,EN-8,Shared Facilities,Engagement,EN,Context,Complete,2.0,2.0,cork,100.0
University College Cork,EN-9,Inter-Campus Collaboration,Engagement,EN,Context,Complete,3.0,3.0,cork,100.0
University College Cork,IL-24,Biodiversity Assessment,Innovation & Leadership,IL,Bonus,Complete,1.0,1.0,cork,100.0
University College Cork,IL-29,Zero Emission Grounds Equipment,Innovation & Leadership,IL,Bonus,Complete,1.0,1.0,cork,100.0
University College Cork,IL-30,Energy System Certification,Innovation & Leadership,IL,Bonus,Complete,1.0,1.0,cork,100.0
University College Cork,IL-5,Open Online Sustainability Course,Innovation & Leadership,IL,Bonus,Complete,1.0,1.0,cork,100.0
University College Cork,IL-58,Universal Design,Innovation & Leadership,IL,Bonus,Complete,1.0,1.0,cork,100.0
University College Cork,IL-65,Innovation A,Innovation & Leadership,IL,Bonus,Complete,1.0,1.0,cork,100.0
University College Cork,IL-66,Innovation B,Innovation & Leadership,IL,Bonus,Complete,1.0,1.0,cork,100.0
University College Cork,IL-67,Innovation C,Innovation & Leadership,IL,Bonus,Complete,1.0,1.0,cork,100.0
University College Cork,IL-68,Innovation D,Innovation & Leadership,IL,Bonus,Complete,1.0,1.0,cork,100.0
University College Cork,IL-69,Innovation E,Innovation & Leadership,IL,Bonus,Complete,1.0,1.0,cork,100.0
University College Cork,OP-1,Building Design and Construction,Operations,OP,Environmental,Complete,2.95,3.0,cork,98.3
University College Cork,OP-10,Purchased Goods,Operations,OP,Environmental,Complete,1.13,4.0,cork,28.2
University College Cork,OP-11,Materials Management,Operations,OP,Environmental,Complete,3.0,4.0,cork,75.0
University College Cork,OP-12,Waste Generation and Recovery,Operations,OP,Environmental,Complete,3.99,5.0,cork,79.8
University College Cork,OP-13,Vehicle Fleet,Operations,OP,Environmental,Complete,0.67,2.0,cork,33.5
University College Cork,OP-14,Commute Modal Split,Operations,OP,Environmental,Complete,4.83,6.0,cork,80.5
University College Cork,OP-15,Air Travel,Operations,OP,Environmental,Complete,0.0,2.0,cork,0.0
