institution,gri_disclosure,gri_title,relationship,stars_credit,stars_field,value,units,populated
"University of California, Berkeley",405-1,Diversity of governance bodies and employees,component,PA-8,Percentage of regular/permanent non-academic staff that identify as women or other marginalized gender identities,56.50,,True
"University of California, Berkeley",405-1,Diversity of governance bodies and employees,partial,PA-7,Ethnic diversity index for academic staff,0.50,,True
"University of California, Berkeley",405-1,Diversity of governance bodies and employees,partial,PA-7,Ethnic diversity index for non-academic staff,0.69,,True
University College Cork,2-1,Organizational details,component,PRE-3,Institutional control,Public,,True
University College Cork,2-2,Entities included in the organization’s sustainability reporting,component,PRE-3,Narrative outlining the institutional boundary used to complete this report,"This submission covers all of UCC main campus and satellite campuses that are under the management of UCC Buildings and Estates office. Subsidiary companies are not included in this submission, these include Campus Accommodation, the Mardyke Arena, the Student Centre and the Irish Management Institute (Dublin). As per guidelines, rented multi-tenant buildings are not included.",,True
University College Cork,2-3,"Reporting period, frequency and contact point",partial,OP-6,Performance year for scope 1 and 2 GHG emissions,2024,,True
University College Cork,2-3,"Reporting period, frequency and contact point",partial,PRE-4,List of personnel who led the reporting process,"Dr Maria Kirrane, Head of Sustainability and Climate",,True
University College Cork,2-5,External assurance,component,PRE-4,Were any independent audits or external assurance processes used in the preparation of this report?,Yes,,True
University College Cork,2-5,External assurance,component,PRE-4,Narrative outlining the independent audits or external assurance processes used in the preparation of this report,"Emissions figures were verified by the University's contracted carbon footprint provider, Sustineo.",,True
University College Cork,2-6,"Activities, value chain and other business relationships",partial,PRE-3,Which of the following features are included within the institutional boundary?,Medical school Museum Satellite campus(es),,True
University College Cork,2-7,Employees,partial,PRE-3,Full-time equivalent of employees,"3,643",,True
University College Cork,2-9,Governance structure and composition,component,PA-3,Are one or more academic staff representatives included as members of the institution’s highest decision-making body?,Yes,,True
University College Cork,2-9,Governance structure and composition,component,PA-3,Are one or more staff members representing non-managerial workers included as members of the institution’s highest decision-making body?,Yes,,True
University College Cork,2-9,Governance structure and composition,component,PA-3,Are one or more student representatives included as members of the institution’s highest decision-making body?,Yes,,True
University College Cork,2-9,Governance structure and composition,component,PA-3,Narrative and/or website URL outlining academic staff representation on the institution’s highest decision-making body,Two spaces on the UCC Governing Authority democratically elected by staff of UCC. https://www.ucc.ie/en/ocla/gov/ga/members/,,True
University College Cork,2-13,Delegation of responsibility for managing impacts,component,PA-1,Does the institution have one or more sustainability officers?,Yes,,True
University College Cork,2-13,Delegation of responsibility for managing impacts,component,PA-1,"Is at least one of the institution’s sustainability committees, officers, or offices charged with coordinating various campus constituencies in the advancement of sustainability across the entire institution?",Yes,,True
University College Cork,2-13,Delegation of responsibility for managing impacts,component,PA-1,Narrative and/or website URL providing an overview of the institution’s sustainability officers,"Dr Maria Kirrane is the University's Head of Sustianability and Climate Action, while Sandra Barry serves as Sustainability Support Officer. Irene Ní Shúilleabháin works specifically on student engagement, as Greenshoots coordinator.",,True
University College Cork,2-14,Role of the highest governance body in sustainability reporting,partial,PRE-1,Executive cover letter,03.03.26-STARSProgrammeSubmission.pdf,,True
University College Cork,2-22,Statement on sustainable development strategy,partial,PA-2,Narrative detailing the institution’s guiding vision or goals for sustainability and the plan(s) in which they are published,"The Sustainability and Climate Action Plan (2023-2028) builds on the successes of UCC’s Sustainability Strategy (2016) and sets out how UCC will continue to embed sustainability goals and targets across all aspects of the University’s educational, research, ancillary operations, infrastructural developments and interactions with the community. This plan seeks to help us as a university navigate this path and help shape and inspire a world that protects our environment and our society and furthers University College Cork’s commitment to a sustainable future. UCC aims to achieve significant targets including becoming a zero waste campus by 2030 and a carbon neutral campus by 2040.",,True
University College Cork,2-23,Policy commitments,component,PA-2,"Has the institution made a public commitment to sustainability, as evidenced by an external commitment or a published plan?",Yes,,True
University College Cork,2-23,Policy commitments,component,PA-2,Narrative and/or website URL outlining the institution’s external sustainability commitments that include a reporting requirement,UCC is required by the Irish government to reduce our absolute GHG emissions by 51% by 2030. The University must produce annual roadmaps outlining how it intends to achieve these targets. UCC's most recent Climate Action Roadmap can be viewed here: https://www.ucc.ie/en/media/support/sustainabilityandclimateaction/UCCClimateActionRoadmap2024FINALv02.pdf,,True
University College Cork,2-24,Embedding policy commitments,component,OP-9,Does the institution have a published code of conduct to guide suppliers on the institution’s social and environmental expectations for them?,Yes,,True
University College Cork,2-24,Embedding policy commitments,component,EN-3,Does the institution make available sustainability-focused training opportunities to non-academic staff on at least an annual basis?,Yes,,True
University College Cork,2-24,Embedding policy commitments,partial,PA-1,Narrative outlining the activities and substantive accomplishments of the institution-wide coordinating body or officer during the previous three years,"The Head of Sustainability and Climate Action coordinates the Office of Sustainability and Climate Action. This office also coordinates the Green Campus Committee, Green Forum and ULT Subcommittee on Sustainability and Climate Action. Activities and accomplishments over the last three years include: - Publication of the University's Sustainability and Climate Action Plan - Awarding of the University's 5th Green Flag from the Foundation for Environmental Education - Consistent top ten UI Green Metric Ranking - Coordination of the Green Campus Living Laboratory Fund.",,True
University College Cork,2-25,Processes to remediate negative impacts,partial,PA-12,Does the institution publish information on grievance resolution in a format that is accessible to all employees?,Yes,,True
University College Cork,2-26,Mechanisms for seeking advice and raising concerns,component,PA-12,Does the institution publish information on whistleblower protections in a format that is accessible to all employees?,Yes,,True
University College Cork,2-26,Mechanisms for seeking advice and raising concerns,component,PA-12,Narrative and/or website URL providing an overview of the institution’s published measures to protect employee rights,https://www.ucc.ie/en/edi/sexual-violence-harassment-framework/ https://www.ucc.ie/en/hr/policies/relations/grievance/ https://www.ucc.ie/en/ocla/policy/disclosures-policy/ Freedom of Association is a fundamental right under the irish constitution and https://www.citizensinformation.ie/en/government-in-ireland/irish-constitution-1/constitution-fundamental-rights/ Information on the UCC Trade Union IFUT is available here: https://www.ucc.ie/en/rsa/our-partners/ifut/,,True
University College Cork,2-28,Membership associations,partial,PA-2,Narrative and/or website URL outlining the institution’s external sustainability commitments that include a reporting requirement,UCC is required by the Irish government to reduce our absolute GHG emissions by 51% by 2030. The University must produce annual roadmaps outlining how it intends to achieve these targets. UCC's most recent Climate Action Roadmap can be viewed here: https://www.ucc.ie/en/media/support/sustainabilityandclimateaction/UCCClimateActionRoadmap2024FINALv02.pdf,,True
University College Cork,2-29,Approach to stakeholder engagement,component,PA-3,"Description of other mechanisms used to consult students on institutional decisions, plans, or policies","Born from UCC’s strategic plan, the UCC Student Forum is an exercise in deliberative and participatory democracy that places students at the heart of important strategic and policy issues facing UCC as a community. UCC is committed to widening participation, an intention that goes beyond mere access but extends to active involvement in decision-making. The model chosen for the Student Forum is that of the Irish Citizens’ Assembly . Some of the main aims of the Forum are to strengthen transparency and integrity in decision making and to facilitate good decision making. As a university, we are consciously cultivating citizens who shape society for the common good and betterment of humanity and the planet. Therefore, via ‘sortition’, we committed to creating a truly representative assembly of students who displayed civic and leadership capacities through constructive participation.",,True
University College Cork,2-29,Approach to stakeholder engagement,component,PA-3,"Description of other mechanisms used to consult academic staff on institutional decisions, plans, or policies","The Academic Leadership Forum in UCC is Non-executive forum for academic leadership of the University. Reference group for academic leadership and strategy. Initiates discussions on matters of common University interest for reference to Academic Council or Academic Board, e.g. CAO quotas, postgraduate intake, academic strategy. Coordinates University input and advise on academic matters, e.g. HEA calls, DES calls, skills agenda, IUA, EUA Promotes inter-disciplinarity and research-based approaches for the University. Acts as a forum for sharing and developing cross-University academic initiatives. Enables a greater connection between teaching and research and across Colleges, Schools, the Library and Information Services.",,True
University College Cork,2-29,Approach to stakeholder engagement,component,PA-3,"Narrative and/or website URL outlining the ad hoc mechanisms used during the previous three years to consult local community members on institutional decisions, plans, or policies","UCC supports and actively engages with the local Magazine Road Residents Association, example of this engagement can be seen here - https://magazineroadresidents.com/ - https://www.ucc.ie/en/accommodation/localcommunitymember/",,True
University College Cork,2-29,Approach to stakeholder engagement,component,PA-3,Does the institution have one or more ongoing bodies through which local community-based organizations not affiliated with the institution can democratically participate in its governance?,Yes,,True
University College Cork,3-2,List of material topics,partial,PA-2,Has the institution adopted one or more measurable sustainability objectives that address campus operations?,Yes,,True
University College Cork,3-2,List of material topics,partial,PA-2,"Has the institution adopted one or more measurable sustainability objectives that address teaching, learning, and/or research?",Yes,,True
University College Cork,3-2,List of material topics,partial,PA-2,Has the institution adopted one or more measurable sustainability objectives that address racial equity and/or social justice?,Yes,,True
University College Cork,3-3,Management of material topics,partial,PA-2,Narrative listing the institution’s measurable sustainability objectives that address campus operations,"Within the University's Sustainability and Climate Action Plan 2023-28, UCC has committed to a number of objectives regarding campus operations, a selection of these include: - Exceed government target of reducing scope 1 and 2 GHG emissions by 51% by 2030 and achieving net zero total GHG emissions by 2040. - Implement and adapt our estate management policies and infrastructure to mitigate the impacts of climate change. - Capitalise on funding opportunities to deliver carbon reduction programmes and see the UCC campus act as a Living Laboratory for solutions to climate change. - Prioritise the protection of campus green space in line with UCC Campus Masterplan and promote restoration where possible. - Trial innovative approaches to waste reduction and reuse in collaboration with internal and external stakeholders",,True
University College Cork,3-3,Management of material topics,partial,PA-1,Narrative outlining the activities and substantive accomplishments of the institution-wide coordinating body or officer during the previous three years,"The Head of Sustainability and Climate Action coordinates the Office of Sustainability and Climate Action. This office also coordinates the Green Campus Committee, Green Forum and ULT Subcommittee on Sustainability and Climate Action. Activities and accomplishments over the last three years include: - Publication of the University's Sustainability and Climate Action Plan - Awarding of the University's 5th Green Flag from the Foundation for Environmental Education - Consistent top ten UI Green Metric Ranking - Coordination of the Green Campus Living Laboratory Fund.",,True
University College Cork,3-3,Management of material topics,partial,PA-2,"Has the institution made a public commitment to sustainability, as evidenced by an external commitment or a published plan?",Yes,,True
University College Cork,202-1,Ratios of standard entry level wage by gender compared to local minimum wage,partial,PA-13,Percentage of employees that receive remuneration equivalent to at least a living wage,100,,True
University College Cork,202-1,Ratios of standard entry level wage by gender compared to local minimum wage,partial,PA-13,Living wage,15.40,,True
University College Cork,302-1,Energy consumption within the organization,equivalent,OP-5,Total annual energy consumption,"55,148.70",Megawatt-hours,True
University College Cork,302-1,Energy consumption within the organization,component,OP-5,Total electricity consumption,"32,599.70",Megawatt-hours,True
University College Cork,302-1,Energy consumption within the organization,component,OP-5,Total stationary fuel consumption,"22,549",Megawatt-hours,True
University College Cork,302-1,Energy consumption within the organization,partial,OP-5,Annual renewable energy consumption,0.70,Megawatt-hours,True
University College Cork,302-1,Energy consumption within the organization,component,OP-5,Renewable stationary fuels,0,Megawatt-hours,True
University College Cork,302-1,Energy consumption within the organization,component,OP-5,Total heating and cooling from off-site sources,0,Megawatt-hours,True
University College Cork,302-1,Energy consumption within the organization,component,OP-5,On-site renewable electricity exported,0,Megawatt-hours,True
University College Cork,302-3,Energy intensity,intensity,OP-5,Annual energy consumption per person,"2,139.20",Kilowatt-hours,True
University College Cork,302-3,Energy intensity,intensity,OP-5,Annual energy consumption per unit of floor area,195.31,Kilowatt-hours per square meter,True
University College Cork,303-1,Interactions with water as a shared resource,partial,OP-3,Level of physical water quantity risk for the institution’s main campus,Low-medium,,True
University College Cork,303-1,Interactions with water as a shared resource,component,OP-3,Does the institution harvest rainwater on-site for storage and use?,Yes,,True
University College Cork,303-3,Water withdrawal,equivalent,OP-3,Total water withdrawal,"54,153",Cubic meters,True
University College Cork,303-3,Water withdrawal,component,OP-3,Potable water from off-site sources,"54,153",Cubic meters,True
University College Cork,303-3,Water withdrawal,component,OP-3,Potable water from on-site sources,0,Cubic meters,True
University College Cork,305-1,Direct (Scope 1) GHG emissions,equivalent,OP-6,Annual scope 1 GHG emissions,"6,215.78",Metric tons of CO2 equivalent,True
University College Cork,305-1,Direct (Scope 1) GHG emissions,component,OP-6,Scope 1 GHG emissions from stationary combustion,"5,517",Metric tons of CO2 equivalent,True
University College Cork,305-1,Direct (Scope 1) GHG emissions,component,OP-6,Scope 1 GHG emissions from mobile combustion,62.78,Metric tons of CO2 equivalent,True
University College Cork,305-1,Direct (Scope 1) GHG emissions,component,OP-6,Scope 1 GHG fugitive emissions,636,Metric tons of CO2 equivalent,True
University College Cork,305-1,Direct (Scope 1) GHG emissions,component,OP-6,Scope 1 GHG process emissions,,,False
University College Cork,305-1,Direct (Scope 1) GHG emissions,partial,OP-6,GHG emissions from biogenic sources,0,Metric tons of CO2 equivalent,True
University College Cork,305-2,Energy indirect (Scope 2) GHG emissions,equivalent,OP-6,Annual scope 2 GHG emissions,"8,144",Metric tons of CO2 equivalent,True
University College Cork,305-2,Energy indirect (Scope 2) GHG emissions,component,OP-6,Scope 2 GHG emissions from off-site sources of electricity (market-based),"8,144",Metric tons of CO2 equivalent,True
University College Cork,305-2,Energy indirect (Scope 2) GHG emissions,component,OP-6,Scope 2 GHG emissions from off-site sources of electricity (location-based),"8,144",Metric tons of CO2 equivalent,True
University College Cork,305-2,Energy indirect (Scope 2) GHG emissions,component,OP-6,Scope 2 GHG emissions from off-site sources of heating and cooling,0,Metric tons of CO2 equivalent,True
University College Cork,305-3,Other indirect (Scope 3) GHG emissions,component,OP-6,Scope 3 GHG emissions from business travel,"3,565",Metric tons of CO2 equivalent,True
University College Cork,305-3,Other indirect (Scope 3) GHG emissions,component,OP-6,Scope 3 GHG emissions from commuting,"20,991",Metric tons of CO2 equivalent,True
University College Cork,305-3,Other indirect (Scope 3) GHG emissions,component,OP-6,Scope 3 GHG emissions from purchased goods and services,"1,572",Metric tons of CO2 equivalent,True
University College Cork,305-3,Other indirect (Scope 3) GHG emissions,component,OP-6,Scope 3 GHG emissions from capital goods,0,Metric tons of CO2 equivalent,True
University College Cork,305-3,Other indirect (Scope 3) GHG emissions,component,OP-6,Scope 3 GHG emissions from waste generated in operations,,,False
University College Cork,305-3,Other indirect (Scope 3) GHG emissions,component,OP-6,Scope 3 GHG emissions from fuel- and energy-related activities not included in scope 1 or scope 2,"3,318",Metric tons of CO2 equivalent,True
University College Cork,305-4,GHG emissions intensity,intensity,OP-6,Annual scope 1 and 2 GHG emissions per person,557.01,Kilograms of CO2 equivalent,True
University College Cork,305-4,GHG emissions intensity,intensity,OP-6,Annual scope 1 and 2 GHG emissions per unit of floor area,50.86,Kilograms per square meter,True
University College Cork,305-5,Reduction of GHG emissions,partial,OP-6,Percentage reduction in scope 1 and 2 GHG emissions from baseline,26.21,,True
University College Cork,306-2,Management of significant waste-related impacts,component,OP-11,"Does the institution have a surplus program through which institution-owned items that are no longer needed are stored for eventual sale, donation, or reuse?",Yes,,True
University College Cork,306-2,Management of significant waste-related impacts,component,OP-11,Does the institution have or participate in a reuse program through which employees and/or students can donate personal items for redistribution?,Yes,,True
University College Cork,306-2,Management of significant waste-related impacts,component,OP-11,Has the institution eliminated the on-site use of at least one form of single-use disposable plastic?,Yes,,True
University College Cork,306-2,Management of significant waste-related impacts,component,OP-11,Does the institution have a hazardous waste management program or protocol that includes measures to minimize or reduce the use of hazardous materials?,Yes,,True
University College Cork,306-2,Management of significant waste-related impacts,component,OP-11,Narrative and/or website URL providing an overview of the institution’s composting program,Compostable lunchboxes are accepted in the University's food waste bins.,,True
University College Cork,306-2,Management of significant waste-related impacts,component,OP-12,Does the institution have sufficient data on construction and demolition waste to pursue this indicator?,Yes,,True
University College Cork,306-3,Waste generated,partial,OP-12,Annual non-hazardous waste generated,520,Metric tons,True
University College Cork,306-3,Waste generated,component,OP-12,Annual construction and demolition waste generated,"6,914.08",Metric tons,True
University College Cork,306-4,Waste diverted from disposal,component,OP-12,Total non-hazardous waste diverted from disposal,242,Metric tons,True
University College Cork,306-4,Waste diverted from disposal,component,OP-12,Non-hazardous waste recycled,183,Metric tons,True
University College Cork,306-4,Waste diverted from disposal,component,OP-12,Non-hazardous waste composted,59,Metric tons,True
University College Cork,306-4,Waste diverted from disposal,component,OP-12,Non-hazardous waste prepared for reuse,0,Metric tons,True
University College Cork,306-4,Waste diverted from disposal,component,OP-12,Total construction and demolition waste diverted from disposal,"6,837.95",Metric tons,True
University College Cork,306-4,Waste diverted from disposal,component,OP-12,Construction and demolition waste recycled,"5,675.22",Metric tons,True
University College Cork,306-5,Waste directed to disposal,component,OP-12,Non-hazardous waste disposed of to a landfill or incinerator,278,Metric tons,True
University College Cork,306-5,Waste directed to disposal,component,OP-12,Construction and demolition waste disposed of to a landfill or incinerator,76.13,Metric tons,True
University College Cork,308-1,New suppliers that were screened using environmental criteria,partial,OP-9,Does the institution’s supplier code of conduct include one or more expectations in regard to environmental impact that exceed or are additional to regulatory compliance?,No,,True
University College Cork,308-1,New suppliers that were screened using environmental criteria,partial,OP-9,Percentage of bid solicitations that identify supplier sustainability considerations,21,,True
University College Cork,401-2,Benefits provided to full-time employees that are not provided to temporary or part-time employees,partial,PA-12,Percentage of employees eligible for paid all-gender family/medical leave,100,,True
University College Cork,401-3,Parental leave,partial,PA-12,Number of weeks of paid maternity leave,26,,True
University College Cork,401-3,Parental leave,partial,PA-12,Narrative and/or website URL providing an overview of the maternity leave options available to employees,Under the maternity legislation all women are entitled to 42 weeks maternity leave. Payment of maternity leave may be sourced both from the Department of Social Welfare and/or the University. The 42 week entitlement is divided into 26 weeks paid and an additional 16 weeks unpaid. Entitlements to paid leave and unpaid leave are outlined in the Universities maternity leave policy. Employees are entitled to full pay for twenty six (26) weeks. For more information see https://www.ucc.ie/en/hr/policies/leave/maternity/,,True
University College Cork,403-1,Occupational health and safety management system,partial,PA-11,Narrative and/or website URL providing an overview of the institution’s workplace health and safety committees,"The University has a Safety Representative Forum. The aim of the Forum is to enhance the Safety, Health and Welfare of employees at work and help safeguard students and others affected by the work of UCC and secure legal compliance through consultation. Staff safety reps : Represent staff on Safety, Health and Welfare matters (e.g. on a Safety Action Team/Committee or other group) Carry out safety tours of workplaces on request Review Accident/Dangerous Occurrence reports and contribute if appropriate Contribute to initiatives that improve Safety Culture, raise Safety, Health & Welfare awareness etc., all very much focused on the employees point of view. More information is available here: https://www.ucc.ie/en/ocla/erm/healthandsafety/managinghealthsafety/staffsafetyreps/",,True
University College Cork,403-3,Occupational health services,partial,PA-11,Does the institution make physical health services available to employees?,Yes,,True
University College Cork,403-4,"Worker participation, consultation, and communication on occupational health and safety",component,PA-11,Does the institution have an institution-wide health and safety committee or network of committees that brings together workers and management in the development and review of workplace health and safety policies and procedures?,Yes,,True
University College Cork,403-4,"Worker participation, consultation, and communication on occupational health and safety",component,PA-11,Narrative and/or website URL providing an overview of the institution’s workplace health and safety committees,"The University has a Safety Representative Forum. The aim of the Forum is to enhance the Safety, Health and Welfare of employees at work and help safeguard students and others affected by the work of UCC and secure legal compliance through consultation. Staff safety reps : Represent staff on Safety, Health and Welfare matters (e.g. on a Safety Action Team/Committee or other group) Carry out safety tours of workplaces on request Review Accident/Dangerous Occurrence reports and contribute if appropriate Contribute to initiatives that improve Safety Culture, raise Safety, Health & Welfare awareness etc., all very much focused on the employees point of view. More information is available here: https://www.ucc.ie/en/ocla/erm/healthandsafety/managinghealthsafety/staffsafetyreps/",,True
University College Cork,403-6,Promotion of worker health,component,PA-11,Does the institution make physical health services available to employees?,Yes,,True
University College Cork,403-6,Promotion of worker health,component,PA-11,Does the institution make behavioral health services available to employees?,Yes,,True
University College Cork,403-6,Promotion of worker health,component,PA-11,Does the institution make free or reduced cost fitness activities available to employees?,Yes,,True
University College Cork,403-6,Promotion of worker health,component,PA-11,Does the institution prohibit smoking and tobacco use across the entire campus?,No,,True
University College Cork,403-6,Promotion of worker health,component,PA-11,Does the institution make contemplative and/or spiritual activities available to employees?,Yes,,True
University College Cork,405-1,Diversity of governance bodies and employees,partial,PA-7,Ethnic diversity index for executive staff,0,,True
University College Cork,405-1,Diversity of governance bodies and employees,component,PA-8,Percentage of executive staff that identify as women or other marginalized gender identities,47,,True
University College Cork,405-1,Diversity of governance bodies and employees,component,PA-8,Percentage of regular/permanent academic staff that identify as women or other marginalized gender identities,49,,True
University College Cork,405-1,Diversity of governance bodies and employees,component,PA-8,Percentage of regular/permanent non-academic staff that identify as women or other marginalized gender identities,63,,True
University College Cork,405-1,Diversity of governance bodies and employees,partial,PA-7,Ethnic diversity index for academic staff,0.44,,True
University College Cork,405-1,Diversity of governance bodies and employees,partial,PA-7,Ethnic diversity index for non-academic staff,0.34,,True
Technological University Dublin,2-1,Organizational details,component,PRE-3,Institutional control,Public,,True
Technological University Dublin,2-2,Entities included in the organization’s sustainability reporting,component,PRE-3,Narrative outlining the institutional boundary used to complete this report,"TU Dublin consists of three campuses, namely City, Tallaght, and Blanchardstown. The City campus is itself a regroupement of areas such as Grangegorman, Bolton Street, Aungier Street and other smaller building located in Dublin city centre. Our STARS report includes data for all campuses, all estates and buildings, all university functions, all academic and non-academic staff, all students, all research hubs and research outputs collected from Scopus and Arrow (TU Dublin repository). About 60 people have contributed to the data collection and validation. The limitation of the report, addressed in the Operation section, relates to the access of data from food service providers . All data regarding food and beverages mostle come from 1 of 4 food service providers. However service provider serves our City campus which represents, as a headcount, 18,487 students out of 26,677 students (excluding distance learning and e-learning students) and 2,530 out of 3,283 staff. This means that the reported values address 21,017 people out of a headcount of 29,960 people, i.e. 70% of TU Dublin population. Based on FTE values, City campus represents 15,429 out of 22,841 students and 1,970 out of 2,626, i.e 17,399 FTE out of 25,467 FTE representing 68% of the population.",,True
Technological University Dublin,2-3,"Reporting period, frequency and contact point",partial,OP-6,Performance year for scope 1 and 2 GHG emissions,2023,,True
Technological University Dublin,2-3,"Reporting period, frequency and contact point",partial,PRE-4,List of personnel who led the reporting process,Dr. Philippe Lemarchand - Head of Sustainability Intelligence Dr Zeyan Zhao - Data Analyst in Sustainability Intelligence,,True
Technological University Dublin,2-5,External assurance,component,PRE-4,Were any independent audits or external assurance processes used in the preparation of this report?,No,,True
Technological University Dublin,2-5,External assurance,component,PRE-4,Narrative outlining the independent audits or external assurance processes used in the preparation of this report,,,False
Technological University Dublin,2-6,"Activities, value chain and other business relationships",partial,PRE-3,Which of the following features are included within the institutional boundary?,Agricultural school,,True
Technological University Dublin,2-7,Employees,partial,PRE-3,Full-time equivalent of employees,"2,404",,True
Technological University Dublin,2-9,Governance structure and composition,component,PA-3,Are one or more academic staff representatives included as members of the institution’s highest decision-making body?,Yes,,True
Technological University Dublin,2-9,Governance structure and composition,component,PA-3,Are one or more staff members representing non-managerial workers included as members of the institution’s highest decision-making body?,Yes,,True
Technological University Dublin,2-9,Governance structure and composition,component,PA-3,Are one or more student representatives included as members of the institution’s highest decision-making body?,Yes,,True
Technological University Dublin,2-9,Governance structure and composition,component,PA-3,Narrative and/or website URL outlining academic staff representation on the institution’s highest decision-making body,"TU Dublin's highest decision-making body is Governing Body. This includes both student and staff members, including two academic staff members as voting members (Ref 1). Membership profiles (Ref 2). URL References: Ref 1: https://www.tudublin.ie/media/website/explore/about-the-university/governance/documents/TU-Dublin-Governing-Body-Membership-(02-Sept-2024).pdf Ref 2: https://www.tudublin.ie/explore/about-the-university/governance/membership-profiles/",,True
Technological University Dublin,2-13,Delegation of responsibility for managing impacts,component,PA-1,Does the institution have one or more sustainability officers?,Yes,,True
Technological University Dublin,2-13,Delegation of responsibility for managing impacts,component,PA-1,"Is at least one of the institution’s sustainability committees, officers, or offices charged with coordinating various campus constituencies in the advancement of sustainability across the entire institution?",Yes,,True
Technological University Dublin,2-13,Delegation of responsibility for managing impacts,component,PA-1,Narrative and/or website URL providing an overview of the institution’s sustainability officers,"TU Dublin has a VP of Sustainability, Jennifer Boyer, who is governing 4 sustainability functions that are ""Sustainability Education"", ""Decarbonisation"", ""Sutainability Intelligence"", and ""Societal Engagement"", and 1 sustainability group ""Sustainability Action Research & Innovation Projects"" (Ref 1). Each sustainability function has a head of function: Dr Brian Gormley, Rosie Webb, Dr Philippe Lemarchand, Helena F1tzgerald. The sustainability group gathers 3 project managers and innovation leads, as well as 2 Green-Campus Co-Chair. By the end of 2023, the sustainability office was composed of 12 females and 6 males. URL References: Ref 1: https://www.tudublin.ie/explore/about-the-university/sustainability/about/sustainability-team/",,True
Technological University Dublin,2-14,Role of the highest governance body in sustainability reporting,partial,PRE-1,Executive cover letter,TU_Dublin_Executive_letter_STARS_Application_2024.pdf,,True
Technological University Dublin,2-21,Annual total compensation ratio,partial,IL-62,The factor by which the compensation of the highest compensated senior administrator exceeds that of the lowest compensated full-time employee,8.08,,True
Technological University Dublin,2-22,Statement on sustainable development strategy,partial,PA-2,Narrative detailing the institution’s guiding vision or goals for sustainability and the plan(s) in which they are published,"TU Dublin’s sustainability vision is centered around its commitment to creating a sustainable, equitable, and environmentally responsible institution, as outlined in several key documents, including the Strategic Intent 2030, the Climate Action Roadmap, and the UN SDGs Progress Report. These plans collectively frame the university’s approach to addressing sustainability challenges and embedding sustainability into its core operations. Key Elements of TU Dublin’s Sustainability Vision: Strategic Intent 2030: TU Dublin’s Strategic Intent 2030 serves as the primary guiding document for sustainability. It focuses on three key pillars: People: Promoting well-being, inclusion, and engagement within the university community. Planet: Aiming to reduce the environmental impact of the university’s operations by targeting carbon neutrality, enhancing resource efficiency, and promoting environmental education. Partnership: Building strong collaborations to advance sustainability goals locally and globally, particularly through partnerships aligned with the UN Sustainable Development Goals (SDGs). Climate Action Roadmap: TU Dublin has also developed a Climate Action Roadmap as part of its broader sustainability strategy. This roadmap outlines the university’s commitment to reducing carbon emissions, enhancing energy efficiency, and transitioning to a more sustainable campus environment. The roadmap provides clear targets for reducing carbon footprints across operations, improving building efficiency, and increasing renewable energy usage. The Climate Action Roadmap aligns closely with SDG 13 (Climate Action) and involves engaging with staff, students, and external stakeholders to meet carbon reduction targets in line with the Irish government’s climate goals. UN SDGs Progress Report 2020: The UN SDGs Progress Report highlights TU Dublin’s alignment with the global SDGs, particularly in areas like SDG 4 (Quality Education), SDG 13 (Climate Action), and SDG 17 (Partnerships for the Goals). The report tracks the university’s sustainability initiatives and its impact on the wider community through education, research, and partnerships aimed at fostering sustainable development. Key Plans and Publications: Strategic Intent 2030: Focuses on embedding sustainability into all university functions. Climate Action Roadmap: Provides a specific plan for addressing carbon emissions and achieving climate-related goals. UN SDGs Progress Report 2020: Monitors the university’s progress towards the UN Sustainable Development Goals. These documents collectively highlight TU Dublin’s comprehensive approach to sustainability, with clear objectives to reduce its environmental footprint and contribute to the global sustainability agenda.",,True
Technological University Dublin,2-23,Policy commitments,component,PA-2,"Has the institution made a public commitment to sustainability, as evidenced by an external commitment or a published plan?",Yes,,True
Technological University Dublin,2-23,Policy commitments,component,PA-2,Narrative and/or website URL outlining the institution’s external sustainability commitments that include a reporting requirement,The following URL and documents highlight our sustainability commitments that include reporting requirements: Strategic Intent 2030 (Ref 1) Sustainability Strategy (Ref 2) Climate Action Roadmap (updated every 6 to 12 months) (Ref 3) TU-Dublin-UN-Sustainability-Goals-Progress-Reports (Ref 4 and Ref 5) URL References: Ref 1: https://www.tudublin.ie/explore/about-the-university/strategicintent/2030/ Ref 2: https://www.tudublin.ie/explore/about-the-university/sustainability/vision--progress/sustainability-strategy/ Ref 3: https://www.tudublin.ie/explore/about-the-university/sustainability/vision--progress/sustainability-strategy/climate-action-roadmap/ Ref 4: https://www.tudublin.ie/media/website/explore/about-the-university/strategic-plan/creating-impact/documents/TU-Dublin-UN-Sustainability-Goals-Progress-Report-2020.pdf Ref 5: https://www.tudublin.ie/media/website/explore/about-the-university/strategic-plan/creating-impact/documents/TU-Dublin-UN-Sustainability-Goals-Progress-Report-2021.pdf,,True
Technological University Dublin,2-24,Embedding policy commitments,component,OP-9,Does the institution have a published code of conduct to guide suppliers on the institution’s social and environmental expectations for them?,Yes,,True
Technological University Dublin,2-24,Embedding policy commitments,component,EN-3,Does the institution make available sustainability-focused training opportunities to non-academic staff on at least an annual basis?,Yes,,True
