url,institution,credit_code,field,original_name,local_file,bytes,status,note,extract_status,text_chars
https://reports.aashe.org/media/secure/989/9/868/9397/UCC.CarbonFootprint.YE2023v1.02025.09.16.pdf,University College Cork,OP-6,Copy of the institution’s GHG emissions inventory,UCC.CarbonFootprint.YE2023v1.02025.09.16.pdf,0dd167b00a20eaa8.pdf,1746997,downloaded,application/pdf,ok,100434
https://reports.aashe.org/media/secure/989/9/868/9443/Annual_Energy_Statement.xlsx,University College Cork,OP-6,Copy of the institution’s baseline GHG emissions inventory,Annual_Energy_Statement.xlsx,1d918f187090f0a0.xlsx,15240,downloaded,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,ok,8690
https://reports.aashe.org/media/secure/989/9/869/9373/STARS_Food_Inventory.xlsx,University College Cork,OP-7,Inventory of qualifying food and beverage purchases,STARS_Food_Inventory.xlsx,a07e939b6e0fdbdc.xlsx,236526,downloaded,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,ok,121780
https://reports.aashe.org/media/secure/989/9/871/9470/Climate_action_mandate_compliance_2024.pdf,University College Cork,OP-9,Document supporting the percentage of bid solicitations reported,Climate_action_mandate_compliance_2024.pdf,59d50fd97688c9db.pdf,374575,downloaded,application/pdf,ok,35627
https://reports.aashe.org/media/secure/989/9/881/9717/Private_Full_Transparency_Report_-_University_College_Cork_1.pdf,University College Cork,PA-4,Additional documentation for this credit,Private_Full_Transparency_Report_-_University_College_Cork_1.pdf,ccf91cb885f8b098.pdf,1549006,downloaded,application/pdf,ok,75670
https://reports.aashe.org/media/secure/989/9/882/9742/Private_Full_Transparency_Report_-_University_College_Cork_1.pdf,University College Cork,PA-5,Additional documentation for this credit,Private_Full_Transparency_Report_-_University_College_Cork_1.pdf,ded6f322d6c2caad.pdf,1549006,downloaded,application/pdf,ok,75670
https://reports.aashe.org/media/secure/989/9/884/9773/7.1_STARS_3.0_Racial_and_Ethnic_Representation_WorksheetUCC.xlsx,University College Cork,PA-7,Completed racial and ethnic diversity worksheet,7.1_STARS_3.0_Racial_and_Ethnic_Representation_WorksheetUCC.xlsx,6dd35aa17411f31d.xlsx,123493,downloaded,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,ok,6302
https://reports.aashe.org/media/secure/1646/9/842/8914/TU_Dublin_Executive_letter_STARS_Application_2024.pdf,Technological University Dublin,PRE-1,Executive cover letter,TU_Dublin_Executive_letter_STARS_Application_2024.pdf,1eba26078adb66ef.pdf,269349,downloaded,application/pdf,ok,12271
https://reports.aashe.org/media/secure/1646/9/843/8918/PRE_2_centre-for-sustainability-main.png,Technological University Dublin,PRE-2,"A photograph or document associated with the featured program, initiative, or accomplishment",PRE_2_centre-for-sustainability-main.png,995b184896fbafd2,331725,downloaded,image/png,skipped_image,0
https://reports.aashe.org/media/secure/1646/9/843/8921/PRE_2_Green-Flag.jpg,Technological University Dublin,PRE-2,"A photograph or document associated with the second featured program, initiative, or accomplishment",PRE_2_Green-Flag.jpg,37c3a49380454e36,290929,downloaded,image/jpeg,skipped_image,0
