institution,credit_code,category,pillar,credit_name,indicator,section,field,value,units,value_numeric,value_type,links
University College Cork,PRE-4,PRE,Preface,Reporting Methodologies,,,Narrative outlining the data collection process used in the preparation of this report,"As with previous reports an extensive mapping execise was undertaken to identify parties responsible for each credit. Spreadsheets, credit guidance, and definitions were sent to each responsible party and meetings held to ensure the accuracy of data collected. The process was led by the office of Sustainability and Climate Action, with additional support in data collection provided by the University's Data and Instiutional Research Officer. Regular updates on the data collection process were presented to the University Leadership Team Subcommittee on Sustainability and Climate Action.",,,text_long,
University College Cork,PRE-4,PRE,Preface,Reporting Methodologies,,,List of personnel who led the reporting process,"Dr Maria Kirrane, Head of Sustainability and Climate",,,text,
University College Cork,PRE-4,PRE,Preface,Reporting Methodologies,,,List of additional personnel who contributed to the reporting process,,,,not_reported,
University College Cork,PRE-4,PRE,Preface,Reporting Methodologies,,,Were students involved in the data collection process?,No,,,boolean,
University College Cork,PRE-4,PRE,Preface,Reporting Methodologies,,,Narrative outlining how students were involved in the data collection process,,,,not_reported,
University College Cork,PRE-4,PRE,Preface,Reporting Methodologies,,,Description of the internal data quality controls used in the preparation of this report,"Regular updates on data collection were presented at the University Leadership Team Subcommittee on Sustainability and Climate Action, which is chaired by the University President. Regular meetings were also held with the University's Data and Instiutional Research Officer.",,,text_long,
University College Cork,PRE-4,PRE,Preface,Reporting Methodologies,,,Were any independent audits or external assurance processes used in the preparation of this report?,Yes,,,boolean,
University College Cork,PRE-4,PRE,Preface,Reporting Methodologies,,,Narrative outlining the independent audits or external assurance processes used in the preparation of this report,"Emissions figures were verified by the University's contracted carbon footprint provider, Sustineo.",,,text,
University College Cork,PRE-4,PRE,Preface,Reporting Methodologies,,,Notes about the information provided for this credit,,,,not_reported,
University College Cork,PRE-4,PRE,Preface,Reporting Methodologies,,,Additional documentation for this credit,,,,not_reported,
University College Cork,AC-1,AC,Context,Sustainability Course Offerings,1.1 Percentage of academic departments with sustainability course offerings,,Total number of academic departments that offer courses that may be taken for credit,24,,24.0,number,
University College Cork,AC-1,AC,Context,Sustainability Course Offerings,1.1 Percentage of academic departments with sustainability course offerings,,Number of academic departments with at least one sustainability course offering,24,,24.0,number,
University College Cork,AC-1,AC,Context,Sustainability Course Offerings,1.1 Percentage of academic departments with sustainability course offerings,,Annotated list or inventory of the institution’s sustainability course offerings by department,STARS_Modules.pdf,,,text,https://reports.aashe.org/media/secure/989/9/846/8950/STARS_Modules.pdf
University College Cork,AC-1,AC,Context,Sustainability Course Offerings,1.1 Percentage of academic departments with sustainability course offerings,,Description of the process used to identify the institution’s sustainability course offerings by department,"A keyword search was undertaken using the UCC book of modules and the STARS recommended keywords (as per guidance). The inventory built on previous inventories submitted in earlier STARS applications. A manual check was then undertaken to ensure accuracy. There are 27 distinct ""Schools"" within UCC's 4 main colleges and three of these schools were omitted as they are practice focused i.e. Film and Theatre Studies, School of Clinical Therapies and The Dental School.",,,text_long,
University College Cork,AC-1,AC,Context,Sustainability Course Offerings,1.1 Percentage of academic departments with sustainability course offerings,,Percentage of departments with sustainability course offerings,100,,100.0,number,
University College Cork,AC-1,AC,Context,Sustainability Course Offerings,1.1 Percentage of academic departments with sustainability course offerings,,Points earned for indicator AC 1.1,8,,8.0,number,
University College Cork,AC-1,AC,Context,Sustainability Course Offerings,1.2 Published sustainability course listings,,Does the institution maintain a public multidisciplinary listing of its sustainability course offerings as a resource for current and prospective students?,Yes,,,boolean,
University College Cork,AC-1,AC,Context,Sustainability Course Offerings,1.2 Published sustainability course listings,,Online location where the institution’s sustainability course listings are maintained,https://www.ucc.ie/en/sustainability-climate-action/sdgs/#stars-modules-related-to-sustainability,,,url,https://www.ucc.ie/en/sustainability-climate-action/sdgs/#stars-modules-related-to-sustainability
University College Cork,AC-1,AC,Context,Sustainability Course Offerings,1.2 Published sustainability course listings,,Publication where the institution’s sustainability course listings are maintained,,,,not_reported,
University College Cork,AC-1,AC,Context,Sustainability Course Offerings,1.2 Published sustainability course listings,,Description of the process used to create and maintain the institution’s sustainability course listings,"A keyword search was undertaken using the UCC book of modules and the STARS recommended keywords (as per guidance). The inventory built on previous inventories submitted in earlier STARS applications. A manual check was then undertaken to ensure accuracy. There are 27 distinct ""Schools"" within UCC's 4 main colleges and three of these schools were omitted as they are practice focused i.e. Film and Theatre Studies, School of Clinical Therapies and The Dental School.",,,text_long,
University College Cork,AC-1,AC,Context,Sustainability Course Offerings,1.2 Published sustainability course listings,,Points earned for indicator AC 1.2,3,,3.0,number,
University College Cork,AC-1,AC,Context,Sustainability Course Offerings,1.3 Support for academic staff to integrate sustainability into the curriculum,,Does the institution provide incentives for individual academic staff working to integrate sustainability into the curriculum to pursue relevant professional development and/or training?,Yes,,,boolean,
University College Cork,AC-1,AC,Context,Sustainability Course Offerings,1.3 Support for academic staff to integrate sustainability into the curriculum,,Narrative and/or website URL providing an overview of the incentives provided for individual academic staff to integrate sustainability into the curriculum,"Over the last number of years, the Centre for the integration of teaching and learning have offered financial support through the Strategic Alignment of Teaching and Learning in Higher Education call. Projects are expected to align with one or more of the following themes: Inclusive Learning, Teaching and Assessment Digitally enabled Learning, Teaching and Assessment Education for Sustainable Development Academic Integrity Delivering the Connected Curriculum – connecting students with research, SDGs, employers, entrepreneurship, and the world Applicants are invited to apply for: Smaller ‘seed-funding’ grants of up to €2,000 maximum per application. Larger grant applications for proposals of up to €15,000 maximum per application.",,,text_long,
University College Cork,AC-1,AC,Context,Sustainability Course Offerings,1.3 Support for academic staff to integrate sustainability into the curriculum,,"Does the institution host an ongoing multidisciplinary community of practice, sustainability across the curriculum training program, or equivalent support program for academic staff who are working to integrate sustainability into the curriculum?",Yes,,,boolean,
