institution,stars_version,pillar,category,category_code,credit_code,credit_name,status,score,max
"University of California, Berkeley",3.0,Bonus,Innovation & Leadership,IL,IL-25,Grounds Certification,Complete,1.0,1.0
"University of California, Berkeley",3.0,Bonus,Innovation & Leadership,IL,IL-26,High Performance Building Certification,Complete,1.0,1.0
"University of California, Berkeley",3.0,Bonus,Innovation & Leadership,IL,IL-37,Sustainable Dining Recognition,Complete,1.0,1.0
"University of California, Berkeley",3.0,Bonus,Innovation & Leadership,IL,IL-43,Sustainable Procurement Recognition,Complete,1.0,1.0
"University of California, Berkeley",3.0,Bonus,Innovation & Leadership,IL,IL-44,Zero Waste Certification,Complete,1.0,1.0
"University of California, Berkeley",3.0,Bonus,Innovation & Leadership,IL,IL-45,Bicycle Friendly Recognition,Complete,1.0,1.0
"University of California, Berkeley",3.0,Bonus,Innovation & Leadership,IL,IL-48,Shared Mobility Program,Complete,1.0,1.0
"University of California, Berkeley",3.0,Bonus,Innovation & Leadership,IL,IL-51,Sustainability Projects Fund,Complete,1.0,1.0
"University of California, Berkeley",3.0,Bonus,Innovation & Leadership,IL,IL-54,Sustainable Retirement Plan,Complete,1.0,1.0
"University of California, Berkeley",3.0,Bonus,Innovation & Leadership,IL,IL-56,Open and Shared Course Materials,Complete,1.0,1.0
"University of California, Berkeley",3.0,Bonus,Innovation & Leadership,IL,IL-63,Wellness Recognition,Complete,1.0,1.0
"University of California, Berkeley",3.0,Bonus,Innovation & Leadership,IL,IL-64,Workplace Recognition,Complete,1.0,1.0
University College Cork,3.0,Preface,Report Preface,PRE,PRE-1,Executive Letter,Complete,,
University College Cork,3.0,Preface,Report Preface,PRE,PRE-2,Points of Distinction,Complete,,
University College Cork,3.0,Preface,Report Preface,PRE,PRE-3,Institutional Characteristics,Complete,,
University College Cork,3.0,Preface,Report Preface,PRE,PRE-4,Reporting Methodologies,Complete,,
University College Cork,3.0,Context,Academics,AC,AC-1,Sustainability Course Offerings,Complete,14.0,14.0
University College Cork,3.0,Context,Academics,AC,AC-2,Undergraduate Programs,Complete,14.69,15.0
University College Cork,3.0,Context,Academics,AC,AC-3,Graduate Programs,Complete,7.09,8.0
University College Cork,3.0,Context,Academics,AC,AC-4,Applied Learning,Complete,4.0,4.0
University College Cork,3.0,Context,Academics,AC,AC-5,Sustainability Literacy Assessment,Complete,2.25,4.0
University College Cork,3.0,Context,Academics,AC,AC-6,Sustainability Research,Complete,10.0,10.0
University College Cork,3.0,Context,Academics,AC,AC-7,Center for Sustainability Research,Complete,6.0,6.0
University College Cork,3.0,Context,Academics,AC,AC-8,Responsible Research and Innovation,Complete,7.0,7.0
University College Cork,3.0,Context,Engagement,EN,EN-1,Outreach and Communications,Complete,5.0,5.0
University College Cork,3.0,Context,Engagement,EN,EN-2,Co-Curricular Activities,Complete,9.0,9.0
University College Cork,3.0,Context,Engagement,EN,EN-3,Staff Engagement and Training,Complete,8.0,8.0
