institution,credit_code,category,pillar,credit_name,section,field,value,units,value_numeric,value_type,links
"University of California, Berkeley",PRE-2,PRE,Preface,Points of Distinction,,"A photograph or document associated with the third featured program, initiative, or accomplishment",,,,not_reported,
"University of California, Berkeley",PRE-2,PRE,Preface,Points of Distinction,,Notes about the information provided for this credit,"UC Berkeley Facilities Services, Office of Sustainability, Single-Use Plastics Elimination Working Group",,,text,
"University of California, Berkeley",PRE-3,PRE,Preface,Institutional Characteristics,,Institution type,Doctoral/Research,,,text,
"University of California, Berkeley",PRE-3,PRE,Preface,Institutional Characteristics,,Institutional control,Public,,,text,
"University of California, Berkeley",PRE-3,PRE,Preface,Institutional Characteristics,,Narrative outlining the institutional boundary used to complete this report,"The institutional boundary used in this report includes those for operational purposes the campus retains operational control. This includes UC Berkeley's main campus covering 178 acres in the City of Berkeley, the Hill campus east and adjacent to the main campus, the Richmond Field Station and other stations/reserves operated by the campus, and buildings owned by the campus in various locations.",,,text_long,
"University of California, Berkeley",PRE-3,PRE,Preface,Institutional Characteristics,,Which of the following features are included within the institutional boundary?,Museum,,,text,
"University of California, Berkeley",PRE-3,PRE,Preface,Institutional Characteristics,,Locale,Mid-size city,,,text,
"University of California, Berkeley",PRE-3,PRE,Preface,Institutional Characteristics,,Climate zone,3 - Warm,,,text,
"University of California, Berkeley",PRE-3,PRE,Preface,Institutional Characteristics,,Gross floor area of building space,"1,503,129.29",Square meters,1503129.29,number,
"University of California, Berkeley",PRE-3,PRE,Preface,Institutional Characteristics,,Full-time equivalent student enrollment,"44,578",,44578.0,number,
"University of California, Berkeley",PRE-3,PRE,Preface,Institutional Characteristics,,Full-time equivalent of employees,"13,678",,13678.0,number,
"University of California, Berkeley",PRE-3,PRE,Preface,Institutional Characteristics,,Percentage of students that live in campus housing,21.90,,21.9,number,
"University of California, Berkeley",PRE-3,PRE,Preface,Institutional Characteristics,,Percentage of students enrolled exclusively in distance education,3,,3.0,number,
"University of California, Berkeley",PRE-3,PRE,Preface,Institutional Characteristics,,Notes about the information provided for this credit,Office of Sustainabiltiy,,,text,
"University of California, Berkeley",PRE-3,PRE,Preface,Institutional Characteristics,,Additional documentation for this credit,,,,not_reported,
"University of California, Berkeley",PRE-4,PRE,Preface,Reporting Methodologies,,Narrative outlining the data collection process used in the preparation of this report,"The Office of Sustainability at UC Berkeley led the data collection process for the STARS 3.0 report, utilizing various internal and external tools and platforms to gather and analyze data. This collaborative effort involved multiple campus departments, each providing essential input to ensure comprehensive reporting across all STARS categories. 1. Initial Planning and Stakeholder Engagement. The process began with strategic planning sessions to establish timelines, assign responsibilities, and clarify data requirements. Representatives from departments such as Facilities Services, Residential Life, Procurement, Energy and Utilities, and Academic Affairs joined the data collection team, working closely with the Office of Sustainability to set up a systematic approach for gathering information. 2. Data Collection and Verification. The Office of Sustainability distributed detailed data request templates, and each department identified primary contacts to gather specific data points. Data inputs from various departments were centralized in Shared Good Forms, organized by STARS sections to facilitate easy access and tracking. This centralized platform allowed departments to input data directly, improving efficiency and accuracy in data management. 3. Use of Analytical Tools and Platforms. In addition to the Shared Good Forms, a range of analytical tools and platforms were used to process and validate data. These tools supported efficient data handling, quality checks, and trend analysis, helping to ensure data accuracy before it was compiled into the report. 4. Consolidation, Cross-Referencing, and Supporting Evidence. The Office of Sustainability consolidated the submitted data into a central database, cross-referencing information across departments to ensure consistency. Each response was further supported with documentation, such as policies, procedural documents, and reports, to provide evidence for specific claims and metrics required by STARS. 5. Final Review and Submission. Once data consolidation and verification were complete, the Office of Sustainability conducted a final review with department leads and senior administration. Following this review, the completed report was submitted to AASHE. The final data will inform future improvements and sustainability planning at UC Berkeley.",,,text_long,
"University of California, Berkeley",PRE-4,PRE,Preface,Reporting Methodologies,,List of personnel who led the reporting process,"Marina Zdobnova, Sustainability Data and Program Manager, Office of Sustainability Ashley Smiley, Postodoctoral Fellow, Office of Sustainabiltiy",,,text,
"University of California, Berkeley",PRE-4,PRE,Preface,Reporting Methodologies,,List of additional personnel who contributed to the reporting process,,,,not_reported,
"University of California, Berkeley",PRE-4,PRE,Preface,Reporting Methodologies,,Were students involved in the data collection process?,Yes,,,boolean,
"University of California, Berkeley",PRE-4,PRE,Preface,Reporting Methodologies,,Narrative outlining how students were involved in the data collection process,"Several students were actively involved in the data collection process for the STARS 3.0 report. Their contributions included work on multiple sections including Climate Resiliency, Biodiversity studies, Student Engagement, and assisting with data validation.",,,text_long,
"University of California, Berkeley",PRE-4,PRE,Preface,Reporting Methodologies,,Description of the internal data quality controls used in the preparation of this report,"The preparation of UC Berkeley’s STARS 3.0 report involved multiple layers of internal data quality control to ensure accuracy and consistency. Key controls included: Departmental Review: Each department reviewed and verified its data submissions before sending them to the Office of Sustainability. This initial review helped to catch discrepancies and ensure data was accurate at the source. Cross-Referencing: The Office of Sustainability cross-checked data across departments for consistency, particularly for complex metrics such as greenhouse gas emissions and energy usage, which may overlap across categories. Documentation Requirements: Departments were asked to provide supporting documentation (e.g., policies, reports, procedural documents) for data points, which allowed for further verification and validation of reported data. Centralized Data Collection Platforms: Data was gathered and managed using centralized platforms like Shared Good Forms, organized by section. This ensured that data entry was consistent and reduced the risk of errors in transferring information. Final Review by Senior Staff: The compiled data underwent a final review by senior staff and administrators in the Office of Sustainability, who conducted a last check for accuracy and completeness before submission.",,,text_long,
"University of California, Berkeley",PRE-4,PRE,Preface,Reporting Methodologies,,Were any independent audits or external assurance processes used in the preparation of this report?,No,,,boolean,
"University of California, Berkeley",PRE-4,PRE,Preface,Reporting Methodologies,,Narrative outlining the independent audits or external assurance processes used in the preparation of this report,,,,not_reported,
"University of California, Berkeley",PRE-4,PRE,Preface,Reporting Methodologies,,Notes about the information provided for this credit,Office of Sustainability,,,text,
