institution,credit_code,category,pillar,credit_name,section,field,value,units,value_numeric,value_type,links
"University of California, Berkeley",PA-2,PA,Governance,Commitments and Planning,,Has the institution adopted one or more measurable sustainability objectives that address campus operations?,Yes,,,boolean,
"University of California, Berkeley",PA-2,PA,Governance,Commitments and Planning,,Narrative listing the institution’s measurable sustainability objectives that address campus operations,"UC Berkeley follows the UC systemwide Sustainable Practices Policy . Section III. C. outlines the goals that all UC locations have to meet, including reducing all emissions by at least 90% by 2045 and eliminating the remaining emissions through carbon capture and storage credits (section III.C.1.). UC Berkeley's Sustainability Plan includes a section on Climate & Resiliency which outlines plans to ""accelerate a just and equitable transition to a resilient, clean energy, and zero carbon campus."" UC Berkeley has already set ambitious greenhouse gas emissions reduction targets and identified multiple strategies for achieving the target. Waste goals for UC: - Achieve zero waste by prioritizing reduce, reuse, and then recycle and compost (or other forms of organic recycling) by the following: Reduce 25% per capita from FY 2015/16 levels by 2025 - Reduce 50% per capita from FY 2015/16 levels by 2030 - Divert 90% of municipal solid waste from the landfill UC Berkeley-specific waste goals: - Eliminate all non-essential single use plastic for which there is a viable alternative by end of calendar year 2030 UC goals for food & dining: - By 2030, 25% of food spend will be on sustainable food* products while maintaining accessibility and affordability for all students Moreover, the Berkeley Clean Energy Campus initiative states the following strategies: - Reduce 90% GHG Emissions from 2019 by 2045. - Support the planning and efforts to update the main campus heating, cooling and power system to operate primarily on clean electricity by 2030. This major capital improvement can reduce campus emissions by 60-80%. - Reduce short-lived climate pollutants including black carbon and methane. - Support the phase out hydrofluorocarbons (HFCs) by 2030. - Engage in efforts to increase telework options for employees and improve campus space utilization. https://sustainability.berkeley.edu/sites/default/files/uc_berkeley_sustainability_plan_2020_1.pdf The 2020 Green Labs Action Plan identifies near-term initiatives and responsibilities as well as longer-range ideas for Green Labs. The Green Labs Program was created to improve sustainable practices within research and teaching labs on campus with the goal to incorporate the use of water reduction, waste elimination and energy saving technology, along with actions and procurement strategies for researchers, instructors, and lab spaces. Every year Green Labs will focus on manageable projects within key areas identified by the program to aid the larger theme of sustainability that accomplishes water, energy or waste reduction in campus labs. Key actions & targets for 2020-2022 are outlined in the Green Labs Action Plan. https://sustainability.berkeley.edu/sites/default/files/uc_berkeley_green_labs_action_plan_may_2020.pdf The 2019 Zero Waste Plan outlines a variety of different strategies and approaches to achieve zero waste. Cal Zero Waste has expanded and grown the current portfolio of programs. Zero Waste October includes interactive and engagement elements; Cal Zero Waste will facilitate more conversations with Capital Projects to increase collaboration. Cal Zero Waste also facilitates conversations between procurement and also Green Labs to work on zero waste in laboratories and research spaces on campus. https://facilities.berkeley.edu/sites/default/files/2019_uc_berkeley_zero_waste_plan_final.pdf The 2021 Long Range Development Plan (LRDP) describes a framework for land use and investment to meet the academic goals and objectives of the University. The companion Environmental Impact Report provides information on the environmental implications of the LRDP and includes an extended treatment of potential impacts and mitigation best practices. Goal: Plan every new project to serve as a model of resource conservation and environmental stewardship (LRDP) Key Strategies: - Implement an ongoing program of investment to restore and renew the campus park landscape; implement a program of strategic investment in new and enhanced campus open park spaces. (LRDP) - Continue to manage runoff into storm drain systems such that the aggregate effect of projects implementing the 2020 LRDP is no net increase in runoff over existing conditions. (LRDP EIR) - Continue to revise and implement the Strawberry Creek Management Plan (SCMP) to include recommendations for habitat restoration and enhancement along specific segments of the creek. (LRDP EIR) - Continue implementing an urban runoff management program as published in the Strawberry Creek Management Plan. (LRDP EIR) - Manage the natural preserves based on ecological principles, including replacing invasive exotic plants with native plants suited to this biotic zone, replacing unhealthy plants and plants at the ends of their natural lives, and preserving and enhancing the habitat value of the zone. (LRDP) https://capitalstrategies.berkeley.edu/planning-documents",,,text_long,https://policy.ucop.edu/doc/3100155/SustainablePractices https://sustainability.berkeley.edu/sites/default/files/uc_berkeley_sustainability_plan_2020_1.pdf https://sustainability.berkeley.edu/sites/default/files/uc_berkeley_green_labs_action_plan_may_2020.pdf https://facilities.berkeley.edu/sites/default/files/2019_uc_berkeley_zero_waste_plan_final.pdf https://capitalstrategies.berkeley.edu/planning-documents
"University of California, Berkeley",PA-2,PA,Governance,Commitments and Planning,,Has the institution adopted one or more measurable sustainability objectives that address racial equity and/or social justice?,Yes,,,boolean,
"University of California, Berkeley",PA-2,PA,Governance,Commitments and Planning,,Narrative listing the institution’s measurable sustainability objectives that address racial equity and/or social justice,"Supplier Diversity Goals: UC Berkeley has measurable objectives to enhance supplier diversity as part of its sustainable procurement strategy. The university actively works to increase purchasing from businesses owned by underrepresented groups, including minority-owned, women-owned, and veteran-owned businesses. These goals align with both sustainability and social justice by creating economic opportunities for historically marginalized communities. - 25% Economically and Socially Responsible Spend as a total percentage of addressable spend target to be reached within five (5) fiscal years of adoption of this section in the UC Sustainable Procurement Guidelines Diversity, Equity, Inclusion, and Belonging (DEIB) Initiatives: UC Berkeley’s Office of Diversity, Equity, Inclusion, and Belonging has established measurable objectives to promote racial equity, including increasing the representation of underrepresented groups among faculty, staff, and students. These goals often intersect with sustainability, as the university seeks to ensure that sustainability efforts are inclusive and beneficial to all communities. Equity and Inclusion in Climate Resilience Planning: UC Berkeley incorporates equity and social vulnerability considerations into its climate resilience planning. This includes identifying and addressing how climate impacts may disproportionately affect marginalized communities on campus and in surrounding areas. Measurable outcomes include establishing support systems, resources, and protections for vulnerable populations affected by climate-related disruptions. the UC Office of the President has developed a ""Framework for J.E.D.I.-Centered Climate Resilience Planning,"" highlighting the importance of justice, equity, diversity, and inclusion in addressing climate vulnerabilities. Housing and Food Security Initiatives: UC Berkeley has set objectives to address food and housing insecurity among its student population, recognizing these as issues of social and racial equity. Programs like the Basic Needs Center aim to reduce food insecurity and homelessness among students, many of whom are from underrepresented backgrounds. The success of these programs is measured through the number of students served and reductions in food and housing insecurity statistics.",,,text_long,
"University of California, Berkeley",PA-2,PA,Governance,Commitments and Planning,,Has the institution adopted one or more measurable sustainability objectives that address administration and/or finance?,Yes,,,boolean,
"University of California, Berkeley",PA-2,PA,Governance,Commitments and Planning,,Narrative listing the institution’s measurable sustainability objectives that address administration and/or finance,"University of California sustainable purchasing requirements, as found in the UC Sustainable Practices Policy, are included below. UC Berkeley's Sustainability Plan requires the campus follow these larger UC-wide purchasing guidelines. - 100% compliance with Required Level Green Spend criteria within three (3) fiscal years of the addition of those products and/or product categories to the Guidelines. - 25% Green Spend as a total percentage of spend per product category; target to be reached within three (3) fiscal years after a category is added to the Guidelines. Each University’s Procurement department will integrate sustainability into its processes and practices, including competitive solicitations, in order to satisfy the sustainable purchasing goals outlined above for products, as well as for the procurement of services. The University will do so by: a. Allocating a minimum of 15% of the points utilized in solicitation evaluations to sustainability criteria. Criteria may include, but is not limited to, sustainable product attributes, supplier diversity, supplier practices, contributions to health and wellbeing, and materials safety. https://policy.ucop.edu/doc/3100155/SustainablePractices Fair Wage/Fair Work Program: As part of the UC Fair Wage/Fair Work Plan, UC Berkeley ensures that 100% of workers employed by the university or its contractors receive a minimum wage above the state-mandated rate. This initiative reflects UC Berkeley’s commitment to social justice by improving economic equity and setting measurable standards for fair compensation. Sustainable Procurement Policy: UC Berkeley has adopted a Sustainable Procurement Policy that sets measurable goals for purchasing environmentally preferable products and services. Objectives include increasing the percentage of certified green products, reducing single-use plastics, and prioritizing suppliers with sustainable practices. Progress is measured by tracking procurement data, allowing the university to report on its sustainable spending and supplier diversity goals. Investment Strategies for Climate Responsibility: The University of California system, which includes UC Berkeley, has committed to carbon neutrality in its investment portfolio and has divested from fossil fuels. UC Berkeley’s financial policies include objectives to support environmentally responsible investments, aligning its endowment and financial holdings with climate and sustainability goals. Progress is measured through annual investment disclosures, tracking reductions in carbon-intensive assets, and increasing investments in sustainable and renewable sectors. Green Building Standards: UC Berkeley requires all new construction and major renovations to meet 100% LEED Silver standards or higher. This objective ties administrative decision-making in facilities management and capital projects directly to sustainability goals. Compliance is tracked through certifications, with projects measured on criteria like energy efficiency, water conservation, and materials sourcing. Energy Efficiency and Cost Savings: UC Berkeley’s energy management objectives aim to reduce energy consumption and costs across campus operations. Programs under these objectives include energy retrofitting, installing renewable energy sources, and participating in demand response programs to reduce peak energy usage. These efforts are monitored through measurable indicators such as kilowatt-hour reductions, greenhouse gas emissions savings, and financial savings reported in the campus's annual sustainability report. Sustainable Budgeting and Resource Allocation: UC Berkeley has taken steps to integrate sustainability into its budgeting processes. For example, the university allocates funds specifically for sustainability initiatives, such as energy efficiency upgrades and green lab certifications, and measures the impact of these investments. Funding for sustainability is monitored and assessed based on program outcomes, such as emissions reductions and operational savings.",,,text_long,https://policy.ucop.edu/doc/3100155/SustainablePractices
"University of California, Berkeley",PA-2,PA,Governance,Commitments and Planning,,Points earned for indicator PA 2.2,3,,3.0,number,
"University of California, Berkeley",PA-2,PA,Governance,Commitments and Planning,,Has the institution conducted an assessment to identify vulnerabilities and resilience activities related to climate change on campus and in the local community?,Yes,,,boolean,
"University of California, Berkeley",PA-2,PA,Governance,Commitments and Planning,,Narrative and/or website URL providing an overview of the institution’s climate resilience assessment,"Climate Vulnerability Assessments: Identifying potential impacts of climate change on campus infrastructure, water resources, energy systems, and local ecosystems. Community Resilience Partnerships: Collaborating with the City of Berkeley and other local agencies to align climate adaptation strategies and enhance resilience across the region. UC Climate Action Framework: Part of the UC system’s broader sustainability policy, which emphasizes preparing for climate-related risks and reducing greenhouse gas emissions. https://docs.google.com/document/d/10f3hkSXAUgokWeomN-M4bNFgMPrpcbpCX4Tg1M5L108/edit?tab=t.0 https://docs.google.com/spreadsheets/d/1Eb-rPaYmXfGKDCoGwC639VTs98auI8C4h1WVKrKCP6Y/edit?gid=1896460640#gid=1896460640 https://sustainability.berkeley.edu/sites/default/files/climate_vulnerability_initial_assessment_for_uc_berkeley_deboer.pdf",,,text_long,https://docs.google.com/document/d/10f3hkSXAUgokWeomN-M4bNFgMPrpcbpCX4Tg1M5L108/edit?tab=t.0 https://docs.google.com/spreadsheets/d/1Eb-rPaYmXfGKDCoGwC639VTs98auI8C4h1WVKrKCP6Y/edit?gid=1896460640#gid=1896460640 https://sustainability.berkeley.edu/sites/default/files/climate_vulnerability_initial_assessment_for_uc_berkeley_deboer.pdf
"University of California, Berkeley",PA-2,PA,Governance,Commitments and Planning,,Does the institution participate in an ongoing campus-community task force or committee that is focused on climate resilience?,Yes,,,boolean,
"University of California, Berkeley",PA-2,PA,Governance,Commitments and Planning,,Narrative and/or website URL providing an overview of the campus-community task force or committee focused on climate resilience,https://sustainability.berkeley.edu/office-sustainability/cacs/cacs-working-groups CACS Climate Change Resilience Working Group,,,url,https://sustainability.berkeley.edu/office-sustainability/cacs/cacs-working-groups
"University of California, Berkeley",PA-2,PA,Governance,Commitments and Planning,,Has the institution incorporated climate resilience strategies and/or goals into one or more of its published plans?,Yes,,,boolean,
"University of California, Berkeley",PA-2,PA,Governance,Commitments and Planning,,Narrative listing the institution’s climate resilience strategies and goals and the plan(s) in which they are published,UC Berkeley Sustainability Plan 2020; UC Berkeley Long Range Development Plan 2021; Campus Master Plan 2022 https://berkeley.app.box.com/s/nvwnlm1xgivdq8pvmd0g5joys3bhvgcl and https://berkeley.app.box.com/s/rbb4buhz5b3w7yz8gk7ot2n759fpqbrs and https://sustainability.berkeley.edu/sites/default/files/uc_berkeley_sustainability_plan_2020_1.pdf,,,text_long,https://berkeley.app.box.com/s/nvwnlm1xgivdq8pvmd0g5joys3bhvgcl https://berkeley.app.box.com/s/rbb4buhz5b3w7yz8gk7ot2n759fpqbrs https://sustainability.berkeley.edu/sites/default/files/uc_berkeley_sustainability_plan_2020_1.pdf
"University of California, Berkeley",PA-2,PA,Governance,Commitments and Planning,,Points earned for indicator PA 2.3,1,,1.0,number,
"University of California, Berkeley",PA-2,PA,Governance,Commitments and Planning,,Notes about the information provided for this credit,"In February 2021, the campus released its 2021 Long Range Development Plan: https://lrdp.berkeley.edu/documents Information in this field was provided by the UC Berkeley Office of Sustainability.",,,text,
"University of California, Berkeley",PA-2,PA,Governance,Commitments and Planning,,Additional documentation for this credit,,,,not_reported,
"University of California, Berkeley",PA-3,PA,Governance,Institutional Governance,,Does the institution have one or more ongoing bodies through which students can democratically participate in the governance of the institution?,Yes,,,boolean,
"University of California, Berkeley",PA-3,PA,Governance,Institutional Governance,,Narrative and/or website URL outlining the ongoing bodies through which students can democratically participate in the governance of the institution,"Associated Students of the University of California, Chancellor's Office, Student Environmental Resource Center, Zero Waste Coalition, Graduate Assembly, Office of Student Affairs, and the Housing and Dining division all appoint one student seat each on CACS and each have one vote. https://docs.google.com/spreadsheets/d/1Es6tMkaGrcUlrpL5yGm9J8UZVpfjOOvR/edit?usp=sharing&ouid=105826157914045237014&rtpof=true&sd=true UC Berkeley has several ongoing bodies that allow students to democratically participate in institutional governance. These bodies enable students to have a voice in decision-making processes, especially around policies and initiatives that impact campus life, sustainability, and other areas of interest to the student community. Key examples include: Associated Students of the University of California (ASUC) - The ASUC is UC Berkeley’s official student government and one of the most autonomous student governments in the country. It includes an executive branch, senate, and judicial council, all of which are elected by the student body. ASUC representatives advocate for student interests and work on policy issues that affect the campus community. Graduate Assembly (GA) - Similar to the ASUC, the GA serves as the representative body for graduate students at Berkeley. It focuses on issues specific to graduate students and provides a platform for their concerns in university governance. Student Advisory Committees - UC Berkeley has various advisory committees that include student representatives. These may focus on topics such as sustainability, mental health, housing, and campus safety. Examples include the Chancellor's Advisory Committee on Sustainability and the Student Advisory Committee on Mental Health. UC Berkeley Academic Senate Committees - Some Academic Senate committees, which play a role in academic and administrative governance, include student representatives. These committees can influence decisions on curriculum, academic policies, and other university operations.",,,text_long,https://docs.google.com/spreadsheets/d/1Es6tMkaGrcUlrpL5yGm9J8UZVpfjOOvR/edit?usp=sharing&ouid=105826157914045237014&rtpof=true&sd=true
"University of California, Berkeley",PA-3,PA,Governance,Institutional Governance,,Are one or more student representatives included as members of the institution’s highest decision-making body?,Yes,,,boolean,
"University of California, Berkeley",PA-3,PA,Governance,Institutional Governance,,Narrative and/or website URL outlining student representation on the institution’s highest decision-making body,"Associated Students of the University of California, Chancellor's Office, Student Environmental Resource Center, Zero Waste Coalition, Graduate Assembly, Office of Student Affairs, and the Housing and Dining division all appoint one student seat each on CACS and each have one vote. https://docs.google.com/spreadsheets/d/1Es6tMkaGrcUlrpL5yGm9J8UZVpfjOOvR/edit?usp=sharing&ouid=105826157914045237014&rtpof=true&sd=true At UC Berkeley, students participate in high-level committees and advisory boards that influence policy decisions. UC Berkeley includes student representatives on its highest decision-making body, the UC Board of Regents. While the Board of Regents governs the entire University of California system rather than just the Berkeley campus, it serves as the ultimate authority over university policies, finances, and strategic planning across all UC campuses, including Berkeley.",,,text_long,https://docs.google.com/spreadsheets/d/1Es6tMkaGrcUlrpL5yGm9J8UZVpfjOOvR/edit?usp=sharing&ouid=105826157914045237014&rtpof=true&sd=true
"University of California, Berkeley",PA-3,PA,Governance,Institutional Governance,,Does at least one student representative have voting rights on the highest decision-making body?,Yes,,,boolean,
"University of California, Berkeley",PA-3,PA,Governance,Institutional Governance,,"Description of other mechanisms used to consult students on institutional decisions, plans, or policies","Each year, one UC student is appointed as a Student Regent with voting rights, representing all UC students on the Board. Additionally, a Student Regent-designate is selected to serve a year as a non-voting member before transitioning to the voting position. These Student Regents have the responsibility to advocate for student perspectives and engage with systemwide issues, bringing student concerns directly to the Regents’ decision-making process. The Student Regent is a voting member of The Regents of the University of California, attending all meetings of the Board and its Committees and serving a one-year term. This position is not elected but is filled by application and open to all students currently enrolled in the UC system. From the time of appointment as a Student Regent, but prior to the commencement of service as a member of the Board, the appointee holds the title Regent-designate and is invited to participate in all meetings of the Board and of its Committees, but without a vote.",,,text_long,
"University of California, Berkeley",PA-3,PA,Governance,Institutional Governance,,Points earned for indicator PA 3.1,1,,1.0,number,
"University of California, Berkeley",PA-3,PA,Governance,Institutional Governance,,Does the institution have one or more ongoing bodies through which academic staff can democratically participate in the governance of the institution?,Yes,,,boolean,
"University of California, Berkeley",PA-3,PA,Governance,Institutional Governance,,Narrative and/or website URL outlining the ongoing bodies through which academic staff can democratically participate in the governance of the institution,"UC Berkeley has several ongoing bodies that enable academic staff to participate in the governance of the institution. The primary body is the Berkeley Division of the Academic Senate, which is part of the University of California’s systemwide Academic Senate. This Senate provides faculty members with a structured and democratic way to engage in campus governance and decision-making. Key elements of academic staff governance include: Academic Senate Committees – Faculty members participate in numerous committees within the Academic Senate that influence a wide range of policies, from academic programs and faculty appointments to budget allocations and campus planning. Examples include the Committee on Educational Policy, the Committee on Research, and the Committee on Diversity, Equity, and Campus Climate. Divisional Council (DIVCO) – This is the executive committee of the Berkeley Division of the Academic Senate. DIVCO represents the faculty in discussions with the administration and makes recommendations on policies affecting the campus. DIVCO members are elected by the faculty and serve as the voice of the broader academic community.",,,text_long,
"University of California, Berkeley",PA-3,PA,Governance,Institutional Governance,,Are one or more academic staff representatives included as members of the institution’s highest decision-making body?,Yes,,,boolean,
"University of California, Berkeley",PA-3,PA,Governance,Institutional Governance,,Narrative and/or website URL outlining academic staff representation on the institution’s highest decision-making body,"UC Berkeley has ongoing bodies through which academic staff can democratically participate in the governance of the institution, with the primary example being the Academic Senate. The Berkeley Division of the Academic Senate is part of the broader University of California Academic Senate, which serves as the primary governance body for faculty across the UC system. The Academic Senate allows academic staff to participate democratically in university governance through elections, committees, and representative councils. UC faculty in the Academic Senate carry out shared-governance responsibilities established by The Regents. The Senate is empowered by UC's governing body, the Board of Regents, to exercise direct control over academic matters of central importance to the University – to determine academic policy, set conditions for admission and the granting of degrees, authorize and supervise courses and curricula; and to advise the administration on faculty appointments, promotions and budgets. The Systemwide Academic Senate and the ten Divisional Senates (one for each UC campus) provide the organizational framework that enables the faculty to exercise its right to participate in the University's governance. The faculty voice is formed through a deliberative process that includes the Standing Committees of the Senate, the Academic Council, the Assembly of the Academic Senate, and their Divisional counterparts. Consultation with the senior administration occurs in a parallel structure: at the systemwide level between the Academic Council Chair and the President; and on the campus level between the Divisional Senate Chairs and the Chancellors. With some exceptions and as defined by the Standing Order of the Regents 105.1, Senate membership is granted to individuals who have a ladder-rank or other selected academic appointment at the University.",,,text_long,
"University of California, Berkeley",PA-3,PA,Governance,Institutional Governance,,Does at least one academic staff representative have voting rights on the institution’s highest decision-making body?,No,,,boolean,
"University of California, Berkeley",PA-3,PA,Governance,Institutional Governance,,"Description of other mechanisms used to consult academic staff on institutional decisions, plans, or policies",Berkeley Academic Senate: https://academic-senate.berkeley.edu/,,,text,https://academic-senate.berkeley.edu/
"University of California, Berkeley",PA-3,PA,Governance,Institutional Governance,,Points earned for indicator PA 3.2,0.75,,0.75,number,
"University of California, Berkeley",PA-3,PA,Governance,Institutional Governance,,Does the institution have one or more ongoing bodies through which non-academic staff can democratically participate in the governance of the institution?,Yes,,,boolean,
"University of California, Berkeley",PA-3,PA,Governance,Institutional Governance,,Narrative and/or website URL outlining the ongoing bodies through which non-academic staff can democratically participate in the governance of the institution,"UC Berkeley has ongoing bodies through which non-academic staff can participate in the governance of the institution. Key bodies through which non-academic staff can engage in governance include: Council of UC Staff Assemblies (CUCSA) – This is a systemwide body that represents non-academic staff across all UC campuses, including Berkeley. CUCSA serves as the voice of non-academic staff to the UC Office of the President and the UC Board of Regents. It provides recommendations and works to ensure that the concerns and interests of non-academic staff are considered in university policies. CUCSA is made up of elected representatives from each campus, and UC Berkeley has staff members who participate in this body. UC Berkeley Staff Assembly – The Staff Assembly is a campus-based organization that provides a forum for non-academic staff to engage in university governance and advocacy. It organizes programs, events, and initiatives designed to represent the interests of staff and encourage their involvement in decision-making processes. The Staff Assembly works with campus leadership on issues such as professional development, workplace policies, and staff welfare. Staff Advisory Committees – UC Berkeley has various advisory committees that include non-academic staff representation. These committees provide input on issues such as diversity, equity, and inclusion; sustainability; and campus services. For example, the Chancellor’s Advisory Committee on Staff Diversity (CACSD) is one such body that works to improve staff diversity and inclusivity on campus. Employee and Labor Relations Committees – Non-academic staff representatives can participate in committees focused on labor relations, including those dealing with union representation, working conditions, and compensation. UC Berkeley has staff members involved in these discussions, particularly in departments with unionized staff. Non-academic staff at UC Berkeley can participate in the governance of the institution via advisory bodies of Chancellor’s Staff Advisory Committee (CSAC), The Chancellor’s Cabinet and other Advisory Commmitees on diversity, sustainability, staff development, and campus services.",,,text_long,
"University of California, Berkeley",PA-3,PA,Governance,Institutional Governance,,Are one or more staff members representing non-managerial workers included as members of the institution’s highest decision-making body?,Yes,,,boolean,
"University of California, Berkeley",PA-3,PA,Governance,Institutional Governance,,Narrative and/or website URL outlining non-academic staff representation on the institution’s highest decision-making body,"UC Berkeley has ongoing bodies through which non-academic staff can participate in the governance of the institution. Key bodies through which non-academic staff can engage in governance include: Council of UC Staff Assemblies (CUCSA) – This is a systemwide body that represents non-academic staff across all UC campuses, including Berkeley. CUCSA serves as the voice of non-academic staff to the UC Office of the President and the UC Board of Regents. It provides recommendations and works to ensure that the concerns and interests of non-academic staff are considered in university policies. CUCSA is made up of elected representatives from each campus, and UC Berkeley has staff members who participate in this body. UC Berkeley Staff Assembly – The Staff Assembly is a campus-based organization that provides a forum for non-academic staff to engage in university governance and advocacy. It organizes programs, events, and initiatives designed to represent the interests of staff and encourage their involvement in decision-making processes. The Staff Assembly works with campus leadership on issues such as professional development, workplace policies, and staff welfare. Staff Advisory Committees – UC Berkeley has various advisory committees that include non-academic staff representation. These committees provide input on issues such as diversity, equity, and inclusion; sustainability; and campus services. For example, the Chancellor’s Advisory Committee on Staff Diversity (CACSD) is one such body that works to improve staff diversity and inclusivity on campus. Employee and Labor Relations Committees – Non-academic staff representatives can participate in committees focused on labor relations, including those dealing with union representation, working conditions, and compensation. UC Berkeley has staff members involved in these discussions, particularly in departments with unionized staff. Non-academic staff at UC Berkeley can participate in the governance of the institution via advisory bodies of Chancellor’s Staff Advisory Committee (CSAC), The Chancellor’s Cabinet and other Advisory Commmitees on diversity, sustainability, staff development, and campus services.",,,text_long,
"University of California, Berkeley",PA-3,PA,Governance,Institutional Governance,,Does at least one staff member representing non-managerial workers have voting rights on the institution’s highest decision-making body?,No,,,boolean,
"University of California, Berkeley",PA-3,PA,Governance,Institutional Governance,,"Description of other mechanisms used to consult non-academic staff on institutional decisions, plans, or policies",,,,not_reported,
"University of California, Berkeley",PA-3,PA,Governance,Institutional Governance,,Points earned for indicator PA 3.3,0.75,,0.75,number,
"University of California, Berkeley",PA-3,PA,Governance,Institutional Governance,,Does the institution have one or more ongoing bodies through which local community-based organizations not affiliated with the institution can democratically participate in its governance?,Yes,,,boolean,
"University of California, Berkeley",PA-3,PA,Governance,Institutional Governance,,Narrative and/or website URL outlining the ongoing bodies through which local community-based organizations can democratically participate in the governance of the institution,"Chancellor's Community Advisory Board (CCAB) – This board serves as an advisory body for UC Berkeley, providing local community organizations with a platform to share concerns, offer input, and advise the Chancellor on matters related to community relations. The CCAB includes community leaders from diverse local organizations and functions as a bridge between the university and the surrounding community, especially on issues affecting neighborhood relations, social justice, and community engagement. UC Berkeley’s Public Service Programs – UC Berkeley has numerous public service programs that partner with community-based organizations in the Bay Area. These programs facilitate collaboration between the university and local organizations. Examples include initiatives around sustainability, health, education, and social services, where local organizations often have a voice in shaping the programs. Advisory Committees for Community Engagement – UC Berkeley also has various advisory committees and working groups that involve local community members, particularly in areas related to public health, sustainability, and social justice. These bodies provide community organizations with a forum to advise on university policies and initiatives that affect the local population. Public Listening Sessions and Forums – UC Berkeley regularly holds public meetings and forums where community members, including representatives from local CBOs, can provide input on specific initiatives. These sessions are part of the university's ongoing efforts to maintain a strong relationship with its local community and ensure that its operations are aligned with local needs and values. Berkeley Community Fund (BCF) – The Berkeley Community Fund is a nonprofit organization that supports local community-based organizations in the Berkeley area. It fosters collaboration between the university and local organizations. UC Berkeley has engaged with the BCF on various initiatives, particularly those related to community development and social equity.",,,text_long,
"University of California, Berkeley",PA-3,PA,Governance,Institutional Governance,,"Has the institution used one or more ad hoc mechanisms during the previous three years to consult local community members on institutional decisions, plans, or policies?",Yes,,,boolean,
"University of California, Berkeley",PA-3,PA,Governance,Institutional Governance,,"Narrative and/or website URL outlining the ad hoc mechanisms used during the previous three years to consult local community members on institutional decisions, plans, or policies","The Government and Community Relations unit of the Chancellor’s Office partners with the Berkeley City Manager’s Office to facilitate the meetings of the Berkeley City Council’s Special City/UC/Student Committee , which meets at least once each semester. Known as the 4x6 Committee, the special committee includes the (4) City Councilmembers who represent neighborhoods that are adjacent to the campus, (2) representatives of the undergraduate student government, (2) representatives of the graduate student government, and (2) campus administrators. The committee agendas and discussions focus on issues of mutual concern, including presentations on the university’s Capital Projects and university programs and initiatives that are of shared interest to the stakeholders. UC Berkeley’s Government and Community Relations (GCR) website: https://chancellor.berkeley.edu/gcr",,,text_long,https://berkeleyca.gov/your-government/city-council/council-committees/cityucstudent-relations-committee https://chancellor.berkeley.edu/gcr
"University of California, Berkeley",PA-3,PA,Governance,Institutional Governance,,Points earned for indicator PA 3.4,1,,1.0,number,
"University of California, Berkeley",PA-3,PA,Governance,Institutional Governance,,Notes about the information provided for this credit,"Office of Sustainability, SERC",,,text,
"University of California, Berkeley",PA-3,PA,Governance,Institutional Governance,,Additional documentation for this credit,,,,not_reported,
"University of California, Berkeley",PA-4,PA,Governance,Sustainable Investment Program,,"Has the institution formally incorporated environmental, social, and governance (ESG) factors and/or climate risk as material issues to be considered when making investment decisions?",Yes,,,boolean,
"University of California, Berkeley",PA-4,PA,Governance,Sustainable Investment Program,,Narrative and/or website URL providing an overview of how the institution has incorporated ESG factors and/or climate risk as material issues to be considered when making investment decisions,"UC approaches sustainability, at every stage of the investment process, both from a risk management and investment opportunity perspective. UC believes that a focus on sustainability, including in particular climate change, food and water security and the circular economy, can help create better risk-adjusted returns over the long term. At the governance level, the UC Board of Regents’ Investment Policy Statement for the endowment makes clear that material ESG risks shall be considered with the same weight as any other material investment risk. The Board of Regents’ policy regarding sustainability in endowment investments states in relevant part: “The Office of the Chief Investment Officer shall incorporate environmental sustainability, social responsibility, and governance (ESG) into the investment evaluation process as part of its overall risk assessment in its investments decision making. ESG factors are considered with the same weight as other material risk factors influencing investment decision making. The Office of the Chief Investment Officer uses a proprietary sustainability framework to provide core universal principles that inform the decisions and assist in the process of investment evaluation. The Office of the Chief Investment Officer manages the [endowment] consistent with these sustainability principles. The Framework can be found on the Office of the Chief Investment Officer website in the sustainability section.” See: https://regents.universityofcalifornia.edu/policies/6102.pdf At the Chief Investment Officer and staff level, all investment staff consider ESG factors in the investment process when such factors are material. Our Framework for Sustainable Investing describes our views on material ESG factors in more detail. See: https://www.ucop.edu/investment-office/sustainable-investment/sustainability-framework/index.html To implement our approach, UC Investments has developed a range of practices. We manage our ~$23 billion endowment through external managers. The Director of ESG Integration conducts an ESG due diligence review of all potential new managers and investments, including in funds and co-investments. The ESG review one of the considerations in whether to proceed with a new investment. UC Investments oversees and monitors the firms that manage our endowment in order to ensure that material ESG issues, if any, are being adequately addressed. Most of our external investment managers have best in class ESG staff and practices and are at the forefront of the investment industry’s efforts to integrate ESG considerations, including climate risk.",,,text_long,https://regents.universityofcalifornia.edu/policies/6102.pdf https://www.ucop.edu/investment-office/sustainable-investment/sustainability-framework/index.html
"University of California, Berkeley",PA-4,PA,Governance,Sustainable Investment Program,,Points earned for indicator PA 4.1,2,,2.0,number,
"University of California, Berkeley",PA-4,PA,Governance,Sustainable Investment Program,,Does the institution employ negative screening and/or targeted divestment in support of sustainability?,Yes,,,boolean,
