institution,credit_code,category,pillar,credit_name,section,field,value,units,value_numeric,value_type
Technological University Dublin,PRE-3,PRE,Preface,Institutional Characteristics,,Which of the following features are included within the institutional boundary?,Agricultural school,,,text
Technological University Dublin,PRE-3,PRE,Preface,Institutional Characteristics,,Locale,Large city,,,text
Technological University Dublin,PRE-3,PRE,Preface,Institutional Characteristics,,Climate zone,4 - Mixed,,,text
Technological University Dublin,PRE-3,PRE,Preface,Institutional Characteristics,,Gross floor area of building space,"210,887",Square meters,210887.0,number
Technological University Dublin,PRE-3,PRE,Preface,Institutional Characteristics,,Full-time equivalent student enrollment,"22,841",,22841.0,number
Technological University Dublin,PRE-3,PRE,Preface,Institutional Characteristics,,Full-time equivalent of employees,"2,404",,2404.0,number
Technological University Dublin,PRE-3,PRE,Preface,Institutional Characteristics,,Percentage of students that live in campus housing,0,,0.0,number
Technological University Dublin,PRE-3,PRE,Preface,Institutional Characteristics,,Percentage of students enrolled exclusively in distance education,1.74,,1.74,number
Technological University Dublin,PRE-3,PRE,Preface,Institutional Characteristics,,Notes about the information provided for this credit,,,,not_reported
Technological University Dublin,PRE-3,PRE,Preface,Institutional Characteristics,,Additional documentation for this credit,,,,not_reported
Technological University Dublin,PRE-4,PRE,Preface,Reporting Methodologies,,Narrative outlining the data collection process used in the preparation of this report,"An extensive mapping exercise identifying which people collect, process and validate information behind each STARS questions has been conducted. The supply chain of information was tracked as information was seeked. A second mapping exercise looked at identifying which IT system holds which pieces of information requested in STARS or exploitable to report in STARS. Each stakeholder were given the user manual, the section of the user manual relevant to them, STARS Tracking Worksheet templates complemented with all the credit criteria information and examples provided in the manual. STARS Tracking Worksheets were customised to groups of stakeholders with people designated to input and function/department leads to review. Meetings were organised with each stakeholder (including student union representatives) to introduce the questions and approach, and follow up to address any concern and issues. When dealing with external suppiers/contractors required to report a large amount of data (e.g. list of food and beverages, and other items purchased, as well as the sustainability certificates of each supplier) new templates were design to take the data available and treat it to report on STARS criteria. This engagement formed a training to suppliers on how to address sustainability questions. All progress updates and issues were reported to the University Sustainability Council gathering leaders and student representatives who enabled the data collection process. Overall about 60 people contributed to the data collection and validation.",,,text_long
Technological University Dublin,PRE-4,PRE,Preface,Reporting Methodologies,,List of personnel who led the reporting process,Dr. Philippe Lemarchand - Head of Sustainability Intelligence Dr Zeyan Zhao - Data Analyst in Sustainability Intelligence,,,text
Technological University Dublin,PRE-4,PRE,Preface,Reporting Methodologies,,List of additional personnel who contributed to the reporting process,"Aideen Gurrin, Aimee Byrne, Alan Bruce, Anne Campion, Aoibheana Hobson, Ayesha O'Reilly, Beatriz Lorenzo, Brendon Duffy, Brendan Jennings, Brian Gormley, Brian Jordan, Bronagh Elliot, Catherina Benson, Claire Flannery, Collette Burns, Damian Bruce, David Gavin, Dorothy Dalton, Dusan Kovacevic, Edel Niland, Elizabeth Darcy, Frances Madden, Helena Fitzgerald, Hugh Byrne, Iseult O'Siochain, Jennifer Boyer, Jennifer Farrell, Jesus Frias, Jimmy Kane, Joanne Kearney, Ken Boyle, Lindsay Dowling, Lorraine D'Arcy, Lucia Walsh, Mark Geraghty, Mark Russell, Mary Deasy, Melody Chinenyanga, Nick Skelly, Olivia Freeman, Orlaith McEvoy, Paul Campbell, Paul Coleman, Rachel Freeman, Rachel O'Connor, Rebecca Flanagan, Rebecca Grogan, Richard Gallery, Robert Kiernan, Rosie Webb, Sarah Maher, Sarah Woodhouse, Shauna Lawlor, Stephen Folan, Tara Kilkenny, Thomas Cooney, Thomas Stone, Yvonne Galligan",,,text_long
Technological University Dublin,PRE-4,PRE,Preface,Reporting Methodologies,,Were students involved in the data collection process?,Yes,,,boolean
Technological University Dublin,PRE-4,PRE,Preface,Reporting Methodologies,,Narrative outlining how students were involved in the data collection process,Student Union representatives members of the University Sustainability Council contributed to answering questions related to students.,,,text
Technological University Dublin,PRE-4,PRE,Preface,Reporting Methodologies,,Description of the internal data quality controls used in the preparation of this report,"Data from various sources (files managed by university functions and IT systems) were collected, consolidated, cleaned, and validated with function owners. Staff and students were assigned STARS categories and questions to answer. Reported data were manually validated by the Sustainability Intelligence team (coordinating the report), heads of function/department, data analysts in various departments assigned to STARS sections and questions. A sustainability language model was developped to systematically assess the SDG associated to text and the sustainability level per SDG. The model accuracy was tested and validated for short and long text, and compared to state-of-the-art models. The sustainability language model developped in >88% accurate across all SDGs for both long and short text, and represent a significant advancement of the sate-of-the-art which had an accuracy of only 88% for short text, and 76% for long text . While the results provided by the model have been manually validated by sustainability champions, the results are in the process of being further manually reviewed by document owners (e.g. module coordinator/owner, school and faculty leads, academic affairs; authors of research papers; communication officers managing a TU Dublin website section) with some guidance on what sustainability and SDG definitions and background knowledge. The model will evolve with user feedback while also educating users on sustainability aspect, providing a systematic and consolidated means to assess, review, and report sustainability.",,,text_long
Technological University Dublin,PRE-4,PRE,Preface,Reporting Methodologies,,Were any independent audits or external assurance processes used in the preparation of this report?,No,,,boolean
Technological University Dublin,PRE-4,PRE,Preface,Reporting Methodologies,,Narrative outlining the independent audits or external assurance processes used in the preparation of this report,,,,not_reported
Technological University Dublin,PRE-4,PRE,Preface,Reporting Methodologies,,Notes about the information provided for this credit,,,,not_reported
Technological University Dublin,PRE-4,PRE,Preface,Reporting Methodologies,,Additional documentation for this credit,,,,not_reported
Technological University Dublin,AC-1,AC,Context,Sustainability Course Offerings,,Total number of academic departments that offer courses that may be taken for credit,26,,26.0,number
Technological University Dublin,AC-1,AC,Context,Sustainability Course Offerings,,Number of academic departments with at least one sustainability course offering,26,,26.0,number
Technological University Dublin,AC-1,AC,Context,Sustainability Course Offerings,,Annotated list or inventory of the institution’s sustainability course offerings by department,AC_1.1_sustainability_course_offerings_revised.xlsx,,,text
Technological University Dublin,AC-1,AC,Context,Sustainability Course Offerings,,Description of the process used to identify the institution’s sustainability course offerings by department,"A sustainability language model to classify text among the 17 UN SDG and identify the sustainability level as Sustainability-Focused, Sustainability-Inclusive, and Non-Sustainable has been developped and patented. The model accuracy was tested and validated for short and long text, and compared to state-of-the-art models. The sustainability language model developped in >88% accurate across all SDGs for both long and short text, and represent a significant advancement of the sate-of-the-art which had an accuracy of only 88% for short text, and 76% for long text. While the results provided by the model have been manually validated by sustainability champions, the results are in the process of being further manually reviewed by document owners (e.g. module coordinator/owner, school and faculty leads, academic affairs; authors of research papers; communication officers managing a TU Dublin website section) with some guidance on what sustainability and SDG definitions and background knowledge. The model will evolve with user feedback while also educating users on sustainability aspect, providing a systematic and consolidated means to assess, review, and report sustainability. All TU Dublin module/course descriptors including the module code, title, overview, learning outcomes, assessments, department owners/coordinators, and NFQ level were retrieved from our Programme and Module Catalogue (PMC). The sustainability level per SDG of each module was analysed using our validated sustainability language model. The analysis could then report on the sustainbility of modules/courses offered by each TU Dublin department.",,,text_long
Technological University Dublin,AC-1,AC,Context,Sustainability Course Offerings,,Percentage of departments with sustainability course offerings,100,,100.0,number
Technological University Dublin,AC-1,AC,Context,Sustainability Course Offerings,,Points earned for indicator AC 1.1,8,,8.0,number
Technological University Dublin,AC-1,AC,Context,Sustainability Course Offerings,,Does the institution maintain a public multidisciplinary listing of its sustainability course offerings as a resource for current and prospective students?,Yes,,,boolean
Technological University Dublin,AC-1,AC,Context,Sustainability Course Offerings,,Online location where the institution’s sustainability course listings are maintained,,,,not_reported
Technological University Dublin,AC-1,AC,Context,Sustainability Course Offerings,,Publication where the institution’s sustainability course listings are maintained,AC_1.2_Sustainability_Course_Listings_Report_20241004.pdf,,,text
Technological University Dublin,AC-1,AC,Context,Sustainability Course Offerings,,Description of the process used to create and maintain the institution’s sustainability course listings,Active modules are listed in our Programme Module Catalogue (PMC). The validated Sustainability Language Model (Natural Language Processing and Machine Learning tool) assess the sustainability level and SDG association of text (described in AC1.1) provided in our modules' descriptors.,,,text_long
